prec_id,Ed McGuire,Tommy Tucker,election
mecklenburg_201,1244,829,nc_state_senate_district_35
mecklenburg_216,679,1020,nc_state_senate_district_35
mecklenburg_218,339,911,nc_state_senate_district_35
mecklenburg_219,272,648,nc_state_senate_district_35
mecklenburg_220,315,915,nc_state_senate_district_35
mecklenburg_221,410,1403,nc_state_senate_district_35
mecklenburg_234,451,664,nc_state_senate_district_35
mecklenburg_235,486,744,nc_state_senate_district_35
mecklenburg_236,327,1167,nc_state_senate_district_35
mecklenburg_CURBSIDE,8,15,nc_state_senate_district_35
union_001,188,97,nc_state_senate_district_35
union_002,330,272,nc_state_senate_district_35
union_003,216,224,nc_state_senate_district_35
union_004,371,63,nc_state_senate_district_35
union_005,317,675,nc_state_senate_district_35
union_006,138,540,nc_state_senate_district_35
union_007,317,742,nc_state_senate_district_35
union_008,528,342,nc_state_senate_district_35
union_009,316,207,nc_state_senate_district_35
union_010,302,156,nc_state_senate_district_35
union_011,144,785,nc_state_senate_district_35
union_012,127,839,nc_state_senate_district_35
union_013,117,890,nc_state_senate_district_35
union_014,120,383,nc_state_senate_district_35
union_015,384,1154,nc_state_senate_district_35
union_016,267,992,nc_state_senate_district_35
union_017A,249,895,nc_state_senate_district_35
union_017B,253,1115,nc_state_senate_district_35
union_018,215,956,nc_state_senate_district_35
union_019,373,1107,nc_state_senate_district_35
union_020A,366,708,nc_state_senate_district_35
union_020B,214,811,nc_state_senate_district_35
union_021,159,701,nc_state_senate_district_35
union_022,123,1009,nc_state_senate_district_35
union_023,221,644,nc_state_senate_district_35
union_024,139,681,nc_state_senate_district_35
union_025,165,556,nc_state_senate_district_35
union_026,169,483,nc_state_senate_district_35
union_027,191,563,nc_state_senate_district_35
union_028A,363,1054,nc_state_senate_district_35
union_028B,248,1038,nc_state_senate_district_35
union_028C,233,981,nc_state_senate_district_35
union_028D,335,785,nc_state_senate_district_35
union_029A,467,703,nc_state_senate_district_35
union_029B,164,523,nc_state_senate_district_35
union_029C,163,607,nc_state_senate_district_35
union_030,473,1055,nc_state_senate_district_35
union_031,307,658,nc_state_senate_district_35
union_032,264,912,nc_state_senate_district_35
union_033,246,789,nc_state_senate_district_35
union_034,306,927,nc_state_senate_district_35
union_035,158,677,nc_state_senate_district_35
union_036,243,555,nc_state_senate_district_35
union_037A,352,821,nc_state_senate_district_35
union_037B,133,552,nc_state_senate_district_35
union_038A,326,660,nc_state_senate_district_35
union_038B,231,722,nc_state_senate_district_35
union_039,127,586,nc_state_senate_district_35
union_040,269,1128,nc_state_senate_district_35
union_041,261,998,nc_state_senate_district_35
union_042,193,391,nc_state_senate_district_35
union_043,286,60,nc_state_senate_district_35
union_CURBSIDE,0,0,nc_state_senate_district_35
