prec_id,Nelson Cole,Bert Jones,election
rockingham_DR,336,482,nc_house_of_representatives_district_65
rockingham_EC,685,1050,nc_house_of_representatives_district_65
rockingham_ED-1,614,925,nc_house_of_representatives_district_65
rockingham_IR,43,115,nc_house_of_representatives_district_65
rockingham_LI,558,948,nc_house_of_representatives_district_65
rockingham_LK-2,597,881,nc_house_of_representatives_district_65
rockingham_MA,656,906,nc_house_of_representatives_district_65
rockingham_MC,1001,1002,nc_house_of_representatives_district_65
rockingham_MS,1548,1230,nc_house_of_representatives_district_65
rockingham_RC,757,1267,nc_house_of_representatives_district_65
rockingham_SE,675,741,nc_house_of_representatives_district_65
