prec_id,Marian N. McLawhorn,Stan Larson,election
pitt_0101,439,372,nc_house_of_representatives_district_9
pitt_0200A,362,437,nc_house_of_representatives_district_9
pitt_0200B,498,230,nc_house_of_representatives_district_9
pitt_0601,256,577,nc_house_of_representatives_district_9
pitt_1001,536,422,nc_house_of_representatives_district_9
pitt_1301,118,172,nc_house_of_representatives_district_9
pitt_1402A,230,316,nc_house_of_representatives_district_9
pitt_1402B,226,287,nc_house_of_representatives_district_9
pitt_1403A,474,645,nc_house_of_representatives_district_9
pitt_1403B,517,584,nc_house_of_representatives_district_9
pitt_1504A,69,23,nc_house_of_representatives_district_9
pitt_1504B,201,73,nc_house_of_representatives_district_9
pitt_1505B,295,18,nc_house_of_representatives_district_9
pitt_1506,152,76,nc_house_of_representatives_district_9
pitt_1507,368,248,nc_house_of_representatives_district_9
pitt_1507B,116,91,nc_house_of_representatives_district_9
pitt_1509,147,132,nc_house_of_representatives_district_9
pitt_1510A,348,423,nc_house_of_representatives_district_9
pitt_1511A,444,536,nc_house_of_representatives_district_9
pitt_1511B,263,241,nc_house_of_representatives_district_9
pitt_1512A,390,370,nc_house_of_representatives_district_9
pitt_1512B,326,251,nc_house_of_representatives_district_9
