prec_id,Jody McLeod,David Rouzer,election
johnston_PR01,119,366,nc_state_senate_district_12
johnston_PR02,119,274,nc_state_senate_district_12
johnston_PR03,193,651,nc_state_senate_district_12
johnston_PR04,141,360,nc_state_senate_district_12
johnston_PR05,101,313,nc_state_senate_district_12
johnston_PR06,144,524,nc_state_senate_district_12
johnston_PR07,236,821,nc_state_senate_district_12
johnston_PR08,98,589,nc_state_senate_district_12
johnston_PR09,410,721,nc_state_senate_district_12
johnston_PR10A,332,233,nc_state_senate_district_12
johnston_PR10B,163,360,nc_state_senate_district_12
johnston_PR11A,288,420,nc_state_senate_district_12
johnston_PR11B,407,591,nc_state_senate_district_12
johnston_PR12A,284,643,nc_state_senate_district_12
johnston_PR12B,236,499,nc_state_senate_district_12
johnston_PR13,150,590,nc_state_senate_district_12
johnston_PR14,111,641,nc_state_senate_district_12
johnston_PR15,210,594,nc_state_senate_district_12
johnston_PR16,162,432,nc_state_senate_district_12
johnston_PR17,52,307,nc_state_senate_district_12
johnston_PR18,75,401,nc_state_senate_district_12
johnston_PR19,153,492,nc_state_senate_district_12
johnston_PR20,291,645,nc_state_senate_district_12
johnston_PR21,166,675,nc_state_senate_district_12
johnston_PR22,237,783,nc_state_senate_district_12
johnston_PR23A,192,720,nc_state_senate_district_12
johnston_PR23B,205,637,nc_state_senate_district_12
johnston_PR24,324,261,nc_state_senate_district_12
johnston_PR25,258,351,nc_state_senate_district_12
johnston_PR26,346,194,nc_state_senate_district_12
johnston_PR27A,182,259,nc_state_senate_district_12
johnston_PR27B,204,297,nc_state_senate_district_12
johnston_PR28,324,656,nc_state_senate_district_12
johnston_PR29A,329,891,nc_state_senate_district_12
johnston_PR29B,459,1073,nc_state_senate_district_12
johnston_PR30,387,551,nc_state_senate_district_12
johnston_PR31A,213,391,nc_state_senate_district_12
johnston_PR31B,360,790,nc_state_senate_district_12
johnston_PR32,205,590,nc_state_senate_district_12
johnston_PR33,226,835,nc_state_senate_district_12
johnston_PR34,543,665,nc_state_senate_district_12
wayne_1,209,453,nc_state_senate_district_12
wayne_2,0,24,nc_state_senate_district_12
wayne_3,95,576,nc_state_senate_district_12
wayne_4,211,709,nc_state_senate_district_12
wayne_5,157,494,nc_state_senate_district_12
wayne_8,84,499,nc_state_senate_district_12
wayne_9,121,468,nc_state_senate_district_12
wayne_16,185,338,nc_state_senate_district_12
wayne_24,109,694,nc_state_senate_district_12
wayne_25,36,88,nc_state_senate_district_12
wayne_26,102,63,nc_state_senate_district_12
wayne_UNIVERSAL,0,0,nc_state_senate_district_12
