prec_id,Jerry W. Tillman,election
montgomery_BIS,303,nc_state_senate_district_29
montgomery_CAN,323,nc_state_senate_district_29
montgomery_CHE,197,nc_state_senate_district_29
montgomery_ELD,392,nc_state_senate_district_29
montgomery_LIT,167,nc_state_senate_district_29
montgomery_MTG,258,nc_state_senate_district_29
montgomery_OPH,99,nc_state_senate_district_29
montgomery_PEE,258,nc_state_senate_district_29
montgomery_ROC,86,nc_state_senate_district_29
montgomery_STA,512,nc_state_senate_district_29
montgomery_T1,318,nc_state_senate_district_29
montgomery_T2,309,nc_state_senate_district_29
montgomery_UWH,325,nc_state_senate_district_29
montgomery_WAD,90,nc_state_senate_district_29
randolph_01,466,nc_state_senate_district_29
randolph_02,391,nc_state_senate_district_29
randolph_03,661,nc_state_senate_district_29
randolph_04,444,nc_state_senate_district_29
randolph_05,196,nc_state_senate_district_29
randolph_06,350,nc_state_senate_district_29
randolph_07,281,nc_state_senate_district_29
randolph_08,183,nc_state_senate_district_29
randolph_09,259,nc_state_senate_district_29
randolph_10,313,nc_state_senate_district_29
randolph_11,284,nc_state_senate_district_29
randolph_12,430,nc_state_senate_district_29
randolph_13,645,nc_state_senate_district_29
randolph_14,272,nc_state_senate_district_29
randolph_15,455,nc_state_senate_district_29
randolph_16,608,nc_state_senate_district_29
randolph_17,490,nc_state_senate_district_29
randolph_18,485,nc_state_senate_district_29
randolph_19,400,nc_state_senate_district_29
randolph_20,461,nc_state_senate_district_29
randolph_21,701,nc_state_senate_district_29
randolph_22,558,nc_state_senate_district_29
randolph_23,647,nc_state_senate_district_29
randolph_24,197,nc_state_senate_district_29
randolph_25,448,nc_state_senate_district_29
randolph_26,502,nc_state_senate_district_29
randolph_27,128,nc_state_senate_district_29
randolph_28,437,nc_state_senate_district_29
randolph_29,843,nc_state_senate_district_29
randolph_30,634,nc_state_senate_district_29
randolph_31,600,nc_state_senate_district_29
randolph_32,742,nc_state_senate_district_29
randolph_33,306,nc_state_senate_district_29
randolph_34,514,nc_state_senate_district_29
randolph_35,551,nc_state_senate_district_29
randolph_36,524,nc_state_senate_district_29
randolph_37,469,nc_state_senate_district_29
randolph_38,739,nc_state_senate_district_29
randolph_39,772,nc_state_senate_district_29
randolph_40,330,nc_state_senate_district_29
