prec_id,Dan Blue,Geoffrey M. Hurlburt,election
wake_43848,60,53,nc_state_senate_district_14
wake_43849,467,16,nc_state_senate_district_14
wake_43850,428,18,nc_state_senate_district_14
wake_43851,24,6,nc_state_senate_district_14
wake_43852,900,23,nc_state_senate_district_14
wake_43856,238,7,nc_state_senate_district_14
wake_43858,940,190,nc_state_senate_district_14
wake_12420,405,18,nc_state_senate_district_14
wake_12785,517,11,nc_state_senate_district_14
wake_13881,563,380,nc_state_senate_district_14
wake_14611,996,47,nc_state_senate_district_14
wake_16803,647,144,nc_state_senate_district_14
wake_18264,643,28,nc_state_senate_district_14
wake_44075,366,446,nc_state_senate_district_14
wake_44076,657,462,nc_state_senate_district_14
wake_44077,384,534,nc_state_senate_district_14
wake_44105,140,288,nc_state_senate_district_14
wake_44106,565,557,nc_state_senate_district_14
wake_44107,455,491,nc_state_senate_district_14
wake_44108,872,783,nc_state_senate_district_14
wake_13-01,747,233,nc_state_senate_district_14
wake_13-05,147,78,nc_state_senate_district_14
wake_13-07,462,261,nc_state_senate_district_14
wake_13-08,538,170,nc_state_senate_district_14
wake_13-09,876,396,nc_state_senate_district_14
wake_16-01,116,253,nc_state_senate_district_14
wake_16-02,1009,270,nc_state_senate_district_14
wake_16-08,1511,339,nc_state_senate_district_14
wake_17-01,593,295,nc_state_senate_district_14
wake_17-02,129,151,nc_state_senate_district_14
wake_17-03,1247,740,nc_state_senate_district_14
wake_17-04,713,576,nc_state_senate_district_14
wake_17-05,878,416,nc_state_senate_district_14
wake_17-06,253,348,nc_state_senate_district_14
wake_17-07,898,161,nc_state_senate_district_14
wake_17-08,1088,746,nc_state_senate_district_14
wake_17-09,939,82,nc_state_senate_district_14
wake_17-10,287,179,nc_state_senate_district_14
wake_17-11,888,362,nc_state_senate_district_14
wake_19-04,749,1095,nc_state_senate_district_14
wake_19-07,26,56,nc_state_senate_district_14
wake_19-09,439,807,nc_state_senate_district_14
wake_19-10,582,1043,nc_state_senate_district_14
wake_19-12,88,180,nc_state_senate_district_14
wake_19-16,434,490,nc_state_senate_district_14
wake_19-17,860,593,nc_state_senate_district_14
