prec_id,Pryor Gibson,John L. Barker,election
anson_ANS,399,130,nc_house_of_representatives_district_69
anson_BURN,319,219,nc_house_of_representatives_district_69
anson_GULL,332,117,nc_house_of_representatives_district_69
anson_LILE,871,184,nc_house_of_representatives_district_69
anson_MM,457,54,nc_house_of_representatives_district_69
anson_PEAC,318,222,nc_house_of_representatives_district_69
anson_POLK,291,105,nc_house_of_representatives_district_69
anson_W1,786,147,nc_house_of_representatives_district_69
anson_W2,540,101,nc_house_of_representatives_district_69
anson_W3,790,178,nc_house_of_representatives_district_69
anson_WS,80,37,nc_house_of_representatives_district_69
union_001,199,88,nc_house_of_representatives_district_69
union_002,385,227,nc_house_of_representatives_district_69
union_003,256,186,nc_house_of_representatives_district_69
union_004,377,60,nc_house_of_representatives_district_69
union_007,227,318,nc_house_of_representatives_district_69
union_008,583,288,nc_house_of_representatives_district_69
union_009,357,167,nc_house_of_representatives_district_69
union_010,334,133,nc_house_of_representatives_district_69
union_023,333,531,nc_house_of_representatives_district_69
union_024,258,563,nc_house_of_representatives_district_69
union_025,236,492,nc_house_of_representatives_district_69
union_026,207,443,nc_house_of_representatives_district_69
union_027,257,497,nc_house_of_representatives_district_69
union_034,391,771,nc_house_of_representatives_district_69
union_036,319,485,nc_house_of_representatives_district_69
union_043,299,49,nc_house_of_representatives_district_69
union_CURBSIDE,0,0,nc_house_of_representatives_district_69
