prec_id,"Jimmy L. Love, Sr.",Michael (Mike) Stone,election
harnett_PR07,689,932,nc_house_of_representatives_district_51
harnett_PR16,529,678,nc_house_of_representatives_district_51
harnett_PR23,130,196,nc_house_of_representatives_district_51
harnett_PR28,95,409,nc_house_of_representatives_district_51
lee_A1,413,317,nc_house_of_representatives_district_51
lee_A2,497,253,nc_house_of_representatives_district_51
lee_B1,221,331,nc_house_of_representatives_district_51
lee_B2,179,192,nc_house_of_representatives_district_51
lee_C1,324,430,nc_house_of_representatives_district_51
lee_C2,252,394,nc_house_of_representatives_district_51
lee_D1,391,506,nc_house_of_representatives_district_51
lee_D2,434,506,nc_house_of_representatives_district_51
lee_E1,324,368,nc_house_of_representatives_district_51
lee_E2,298,252,nc_house_of_representatives_district_51
lee_CURBSIDE,0,0,nc_house_of_representatives_district_51
