prec_id,Timothy L. (Tim) Spear,Bob Steinburg,election
chowan_1,372,133,nc_house_of_representatives_district_2
chowan_2,453,249,nc_house_of_representatives_district_2
chowan_3,233,281,nc_house_of_representatives_district_2
chowan_4,189,132,nc_house_of_representatives_district_2
chowan_5,145,189,nc_house_of_representatives_district_2
chowan_6,218,187,nc_house_of_representatives_district_2
dare_AVON,119,118,nc_house_of_representatives_district_2
dare_BUX,209,289,nc_house_of_representatives_district_2
dare_CHCA,121,122,nc_house_of_representatives_district_2
dare_COL,563,652,nc_house_of_representatives_district_2
dare_DUCK,105,119,nc_house_of_representatives_district_2
dare_EL,17,11,nc_house_of_representatives_district_2
dare_FRCO,141,188,nc_house_of_representatives_district_2
dare_HAT,104,145,nc_house_of_representatives_district_2
dare_KDH,767,940,nc_house_of_representatives_district_2
dare_KTHK,469,698,nc_house_of_representatives_district_2
dare_MATO,1199,839,nc_house_of_representatives_district_2
dare_MH,117,101,nc_house_of_representatives_district_2
dare_NGHD,537,517,nc_house_of_representatives_district_2
dare_SOSH,622,1051,nc_house_of_representatives_district_2
dare_STPT,40,43,nc_house_of_representatives_district_2
dare_WAN,227,259,nc_house_of_representatives_district_2
dare_CURBSIDE,0,0,nc_house_of_representatives_district_2
hyde_BM,49,81,nc_house_of_representatives_district_2
hyde_ENG,163,75,nc_house_of_representatives_district_2
hyde_FF,96,59,nc_house_of_representatives_district_2
hyde_LL,158,50,nc_house_of_representatives_district_2
hyde_OCK,201,64,nc_house_of_representatives_district_2
hyde_SLAD,88,72,nc_house_of_representatives_district_2
hyde_SQ,132,51,nc_house_of_representatives_district_2
washington_LM,483,125,nc_house_of_representatives_district_2
washington_P1,263,65,nc_house_of_representatives_district_2
washington_P2,251,49,nc_house_of_representatives_district_2
washington_P3,480,212,nc_house_of_representatives_district_2
washington_SC,374,142,nc_house_of_representatives_district_2
washington_SK,256,75,nc_house_of_representatives_district_2
