prec_id,Marcus Brandon,Lonnie R. Wilson,election
guilford_G46,580,15,nc_house_of_representatives_district_60
guilford_G47,390,91,nc_house_of_representatives_district_60
guilford_G52,639,70,nc_house_of_representatives_district_60
guilford_G53,979,79,nc_house_of_representatives_district_60
guilford_G54,657,89,nc_house_of_representatives_district_60
guilford_G55,805,154,nc_house_of_representatives_district_60
guilford_G57,570,169,nc_house_of_representatives_district_60
guilford_G59,407,120,nc_house_of_representatives_district_60
guilford_H02,9,4,nc_house_of_representatives_district_60
guilford_H03,187,66,nc_house_of_representatives_district_60
guilford_H04,1,20,nc_house_of_representatives_district_60
guilford_H05,486,96,nc_house_of_representatives_district_60
guilford_H07,352,43,nc_house_of_representatives_district_60
guilford_H08,185,15,nc_house_of_representatives_district_60
guilford_H09,428,17,nc_house_of_representatives_district_60
guilford_H10,672,61,nc_house_of_representatives_district_60
guilford_H11,599,71,nc_house_of_representatives_district_60
guilford_H12,117,52,nc_house_of_representatives_district_60
guilford_H17,134,76,nc_house_of_representatives_district_60
guilford_H18,324,86,nc_house_of_representatives_district_60
guilford_H19A,283,63,nc_house_of_representatives_district_60
guilford_JAM5,75,326,nc_house_of_representatives_district_60
guilford_PG1,157,348,nc_house_of_representatives_district_60
guilford_PG2,309,990,nc_house_of_representatives_district_60
guilford_SUM1,318,73,nc_house_of_representatives_district_60
guilford_SUM2,447,257,nc_house_of_representatives_district_60
guilford_SUM3,163,356,nc_house_of_representatives_district_60
guilford_SUM4,208,689,nc_house_of_representatives_district_60
