prec_id,"Floyd B. McKissick, Jr.",John Tarantino,election
durham_01,278,44,nc_state_senate_district_20
durham_02,538,61,nc_state_senate_district_20
durham_03,84,18,nc_state_senate_district_20
durham_04,60,7,nc_state_senate_district_20
durham_05,41,11,nc_state_senate_district_20
durham_06,149,25,nc_state_senate_district_20
durham_07,406,44,nc_state_senate_district_20
durham_08,471,48,nc_state_senate_district_20
durham_09,752,188,nc_state_senate_district_20
durham_10,245,4,nc_state_senate_district_20
durham_12,169,7,nc_state_senate_district_20
durham_13,227,5,nc_state_senate_district_20
durham_14,471,52,nc_state_senate_district_20
durham_15,260,25,nc_state_senate_district_20
durham_17,524,17,nc_state_senate_district_20
durham_18,427,29,nc_state_senate_district_20
durham_19,655,103,nc_state_senate_district_20
durham_20,510,57,nc_state_senate_district_20
durham_21,506,88,nc_state_senate_district_20
durham_22,978,67,nc_state_senate_district_20
durham_23,1206,222,nc_state_senate_district_20
durham_24,696,536,nc_state_senate_district_20
durham_25,333,553,nc_state_senate_district_20
durham_26,184,383,nc_state_senate_district_20
durham_28,454,710,nc_state_senate_district_20
durham_29,617,558,nc_state_senate_district_20
durham_30-1,1005,533,nc_state_senate_district_20
durham_30-2,1721,309,nc_state_senate_district_20
durham_31,599,481,nc_state_senate_district_20
durham_32,242,559,nc_state_senate_district_20
durham_33,745,306,nc_state_senate_district_20
durham_34-1,794,150,nc_state_senate_district_20
durham_34-2,982,102,nc_state_senate_district_20
durham_37,788,783,nc_state_senate_district_20
durham_40,431,72,nc_state_senate_district_20
durham_41,555,9,nc_state_senate_district_20
durham_42,456,4,nc_state_senate_district_20
durham_44,842,842,nc_state_senate_district_20
durham_45,793,766,nc_state_senate_district_20
durham_46,582,191,nc_state_senate_district_20
durham_47,664,7,nc_state_senate_district_20
durham_52,884,118,nc_state_senate_district_20
durham_55-11,517,12,nc_state_senate_district_20
durham_55-49,564,9,nc_state_senate_district_20
