prec_id,H.M. (Mickey) Michaux,Patricia Ladd,election
durham_14,466,62,nc_house_of_representatives_district_31
durham_15,255,29,nc_house_of_representatives_district_31
durham_18,431,32,nc_house_of_representatives_district_31
durham_19,659,103,nc_house_of_representatives_district_31
durham_29,627,563,nc_house_of_representatives_district_31
durham_30-1,1000,538,nc_house_of_representatives_district_31
durham_30-2,1726,321,nc_house_of_representatives_district_31
durham_31,586,507,nc_house_of_representatives_district_31
durham_32,236,578,nc_house_of_representatives_district_31
durham_33,739,318,nc_house_of_representatives_district_31
durham_34-1,799,150,nc_house_of_representatives_district_31
durham_34-2,970,120,nc_house_of_representatives_district_31
durham_35-1,757,368,nc_house_of_representatives_district_31
durham_35-2,748,329,nc_house_of_representatives_district_31
durham_47,665,7,nc_house_of_representatives_district_31
durham_52,883,126,nc_house_of_representatives_district_31
durham_54,450,138,nc_house_of_representatives_district_31
