prec_id,David Price,William (B.J.) Lawson,election
chatham_15,298,187,us_house_of_representatives_district_4
chatham_21,197,193,us_house_of_representatives_district_4
chatham_42,202,295,us_house_of_representatives_district_4
chatham_73,344,134,us_house_of_representatives_district_4
chatham_75,445,511,us_house_of_representatives_district_4
chatham_78,511,329,us_house_of_representatives_district_4
chatham_NWM117,510,378,us_house_of_representatives_district_4
chatham_MCH110,695,332,us_house_of_representatives_district_4
chatham_PIT113,32,50,us_house_of_representatives_district_4
durham_01,285,45,us_house_of_representatives_district_4
durham_02,551,59,us_house_of_representatives_district_4
durham_03,460,75,us_house_of_representatives_district_4
durham_04,543,127,us_house_of_representatives_district_4
durham_05,405,59,us_house_of_representatives_district_4
durham_06,501,94,us_house_of_representatives_district_4
durham_07,418,47,us_house_of_representatives_district_4
durham_08,490,39,us_house_of_representatives_district_4
durham_09,791,180,us_house_of_representatives_district_4
durham_10,243,5,us_house_of_representatives_district_4
durham_12,172,5,us_house_of_representatives_district_4
durham_13,230,5,us_house_of_representatives_district_4
durham_14,481,51,us_house_of_representatives_district_4
durham_15,258,28,us_house_of_representatives_district_4
durham_16,490,195,us_house_of_representatives_district_4
durham_17,527,20,us_house_of_representatives_district_4
durham_18,439,25,us_house_of_representatives_district_4
durham_19,678,94,us_house_of_representatives_district_4
durham_20,518,53,us_house_of_representatives_district_4
durham_21,514,93,us_house_of_representatives_district_4
durham_22,985,64,us_house_of_representatives_district_4
durham_23,1214,236,us_house_of_representatives_district_4
durham_24,730,548,us_house_of_representatives_district_4
durham_25,366,539,us_house_of_representatives_district_4
durham_26,216,367,us_house_of_representatives_district_4
durham_27,701,382,us_house_of_representatives_district_4
durham_28,450,735,us_house_of_representatives_district_4
durham_29,660,542,us_house_of_representatives_district_4
durham_30-1,1034,514,us_house_of_representatives_district_4
durham_30-2,1748,307,us_house_of_representatives_district_4
durham_31,643,460,us_house_of_representatives_district_4
durham_32,271,554,us_house_of_representatives_district_4
durham_33,746,319,us_house_of_representatives_district_4
durham_34-1,806,148,us_house_of_representatives_district_4
durham_34-2,986,105,us_house_of_representatives_district_4
durham_35-1,787,356,us_house_of_representatives_district_4
durham_35-2,772,330,us_house_of_representatives_district_4
durham_36,605,187,us_house_of_representatives_district_4
durham_37,808,810,us_house_of_representatives_district_4
durham_38,987,399,us_house_of_representatives_district_4
durham_39,821,577,us_house_of_representatives_district_4
durham_40,449,72,us_house_of_representatives_district_4
durham_41,563,8,us_house_of_representatives_district_4
durham_42,459,4,us_house_of_representatives_district_4
durham_43,1493,699,us_house_of_representatives_district_4
durham_44,886,834,us_house_of_representatives_district_4
durham_45,852,733,us_house_of_representatives_district_4
durham_46,595,181,us_house_of_representatives_district_4
durham_47,662,8,us_house_of_representatives_district_4
durham_48,465,208,us_house_of_representatives_district_4
durham_50,726,415,us_house_of_representatives_district_4
durham_51,1232,429,us_house_of_representatives_district_4
durham_52,889,121,us_house_of_representatives_district_4
durham_53-1,530,298,us_house_of_representatives_district_4
durham_53-2,798,388,us_house_of_representatives_district_4
durham_54,1125,323,us_house_of_representatives_district_4
durham_55-11,525,11,us_house_of_representatives_district_4
durham_55-49,567,9,us_house_of_representatives_district_4
orange_BC,432,131,us_house_of_representatives_district_4
orange_BP,219,67,us_house_of_representatives_district_4
orange_CA,201,190,us_house_of_representatives_district_4
orange_CB,471,57,us_house_of_representatives_district_4
orange_CC,189,95,us_house_of_representatives_district_4
orange_CF,508,221,us_house_of_representatives_district_4
orange_CG,278,305,us_house_of_representatives_district_4
orange_CH,407,93,us_house_of_representatives_district_4
orange_CO,536,112,us_house_of_representatives_district_4
orange_CP,410,376,us_house_of_representatives_district_4
orange_CS1,270,170,us_house_of_representatives_district_4
orange_CW,363,668,us_house_of_representatives_district_4
orange_CX,556,612,us_house_of_representatives_district_4
orange_DA,713,223,us_house_of_representatives_district_4
orange_DM,528,125,us_house_of_representatives_district_4
orange_EA,197,78,us_house_of_representatives_district_4
orange_EF,319,384,us_house_of_representatives_district_4
orange_EH,552,140,us_house_of_representatives_district_4
orange_ENO,377,426,us_house_of_representatives_district_4
orange_ES,468,102,us_house_of_representatives_district_4
orange_GB,500,362,us_house_of_representatives_district_4
orange_GL,487,251,us_house_of_representatives_district_4
orange_GR,319,78,us_house_of_representatives_district_4
orange_H,200,63,us_house_of_representatives_district_4
orange_HF,710,275,us_house_of_representatives_district_4
orange_KM,474,215,us_house_of_representatives_district_4
orange_LC,648,96,us_house_of_representatives_district_4
orange_LI,245,35,us_house_of_representatives_district_4
orange_MF,228,71,us_house_of_representatives_district_4
orange_NC,636,159,us_house_of_representatives_district_4
orange_NS,321,51,us_house_of_representatives_district_4
orange_OG,758,482,us_house_of_representatives_district_4
orange_OW,552,61,us_house_of_representatives_district_4
orange_PA,719,351,us_house_of_representatives_district_4
orange_RF,548,175,us_house_of_representatives_district_4
orange_SJ,719,210,us_house_of_representatives_district_4
orange_SM,394,519,us_house_of_representatives_district_4
orange_TH,603,29,us_house_of_representatives_district_4
orange_TO,260,280,us_house_of_representatives_district_4
orange_WC,440,266,us_house_of_representatives_district_4
orange_WD,606,149,us_house_of_representatives_district_4
orange_WDS,331,40,us_house_of_representatives_district_4
orange_WH,436,169,us_house_of_representatives_district_4
