prec_id,Austin Allran,election
catawba_01,1130,nc_state_senate_district_42
catawba_02,789,nc_state_senate_district_42
catawba_03,613,nc_state_senate_district_42
catawba_04,145,nc_state_senate_district_42
catawba_05,840,nc_state_senate_district_42
catawba_06,797,nc_state_senate_district_42
catawba_07,754,nc_state_senate_district_42
catawba_08,948,nc_state_senate_district_42
catawba_09,761,nc_state_senate_district_42
catawba_10,96,nc_state_senate_district_42
catawba_11,279,nc_state_senate_district_42
catawba_12,147,nc_state_senate_district_42
catawba_13,211,nc_state_senate_district_42
catawba_14,586,nc_state_senate_district_42
catawba_15,13,nc_state_senate_district_42
catawba_16,524,nc_state_senate_district_42
catawba_17,358,nc_state_senate_district_42
catawba_19,287,nc_state_senate_district_42
catawba_20,873,nc_state_senate_district_42
catawba_21,549,nc_state_senate_district_42
catawba_22,939,nc_state_senate_district_42
catawba_23,1332,nc_state_senate_district_42
catawba_24,1316,nc_state_senate_district_42
catawba_25,468,nc_state_senate_district_42
catawba_26,633,nc_state_senate_district_42
catawba_27,1097,nc_state_senate_district_42
catawba_28,925,nc_state_senate_district_42
catawba_29,850,nc_state_senate_district_42
catawba_30,876,nc_state_senate_district_42
catawba_31,1287,nc_state_senate_district_42
catawba_32,811,nc_state_senate_district_42
catawba_33,1921,nc_state_senate_district_42
catawba_34,1656,nc_state_senate_district_42
catawba_35,548,nc_state_senate_district_42
catawba_36,848,nc_state_senate_district_42
catawba_37,632,nc_state_senate_district_42
catawba_38,982,nc_state_senate_district_42
catawba_39,910,nc_state_senate_district_42
catawba_40,449,nc_state_senate_district_42
catawba_41,1044,nc_state_senate_district_42
catawba_CURBSIDE,93,nc_state_senate_district_42
iredell_CD,981,nc_state_senate_district_42
iredell_EM,247,nc_state_senate_district_42
iredell_NH,340,nc_state_senate_district_42
iredell_OL,370,nc_state_senate_district_42
iredell_SB,510,nc_state_senate_district_42
iredell_SH-A,700,nc_state_senate_district_42
iredell_SH-B,663,nc_state_senate_district_42
iredell_TB,461,nc_state_senate_district_42
iredell_UG,386,nc_state_senate_district_42
