prec_id,Mitchell Smith Setzer,election
catawba_01,1181,nc_house_of_representatives_district_89
catawba_05,914,nc_house_of_representatives_district_89
catawba_06,830,nc_house_of_representatives_district_89
catawba_09,780,nc_house_of_representatives_district_89
catawba_20,873,nc_house_of_representatives_district_89
catawba_21,589,nc_house_of_representatives_district_89
catawba_22,972,nc_house_of_representatives_district_89
catawba_27,939,nc_house_of_representatives_district_89
catawba_31,1348,nc_house_of_representatives_district_89
catawba_32,836,nc_house_of_representatives_district_89
catawba_34,635,nc_house_of_representatives_district_89
catawba_41,1076,nc_house_of_representatives_district_89
catawba_CURBSIDE,27,nc_house_of_representatives_district_89
iredell_BE,580,nc_house_of_representatives_district_89
iredell_CD,992,nc_house_of_representatives_district_89
iredell_FT,207,nc_house_of_representatives_district_89
iredell_SH-A,715,nc_house_of_representatives_district_89
iredell_SH-B,682,nc_house_of_representatives_district_89
