prec_id,Beth Jones,Warren T. Daniel,Richard C. Evey,election
burke_0001,525,648,22,nc_state_senate_district_44
burke_0003,145,338,10,nc_state_senate_district_44
burke_0011,229,652,33,nc_state_senate_district_44
burke_0012,121,509,17,nc_state_senate_district_44
burke_0013,183,757,24,nc_state_senate_district_44
burke_0014,151,587,20,nc_state_senate_district_44
burke_0015,145,382,8,nc_state_senate_district_44
burke_0018,90,108,7,nc_state_senate_district_44
burke_0019,126,172,6,nc_state_senate_district_44
burke_0020,204,232,11,nc_state_senate_district_44
burke_0021,229,307,20,nc_state_senate_district_44
burke_0022,255,541,13,nc_state_senate_district_44
burke_0024,432,631,13,nc_state_senate_district_44
burke_0029-A,84,296,12,nc_state_senate_district_44
burke_0029-B,139,255,8,nc_state_senate_district_44
burke_0031,496,243,17,nc_state_senate_district_44
burke_0034,469,344,20,nc_state_senate_district_44
burke_0035,366,243,18,nc_state_senate_district_44
burke_0036,312,418,24,nc_state_senate_district_44
burke_0038,369,455,24,nc_state_senate_district_44
burke_0039,357,285,12,nc_state_senate_district_44
burke_0040,294,385,17,nc_state_senate_district_44
burke_0047-A,569,342,19,nc_state_senate_district_44
burke_0047-B,290,233,19,nc_state_senate_district_44
burke_0048,476,481,22,nc_state_senate_district_44
burke_0051,462,679,41,nc_state_senate_district_44
burke_0052,218,220,19,nc_state_senate_district_44
burke_0053,274,503,32,nc_state_senate_district_44
burke_0062,143,175,8,nc_state_senate_district_44
burke_0064,103,211,9,nc_state_senate_district_44
burke_0065,145,260,12,nc_state_senate_district_44
burke_0066,271,387,21,nc_state_senate_district_44
burke_0070,389,588,32,nc_state_senate_district_44
caldwell_PR01,270,404,27,nc_state_senate_district_44
caldwell_PR02,154,255,11,nc_state_senate_district_44
caldwell_PR05,240,455,16,nc_state_senate_district_44
caldwell_PR06,184,329,17,nc_state_senate_district_44
caldwell_PR07,144,340,17,nc_state_senate_district_44
caldwell_PR08,168,192,11,nc_state_senate_district_44
caldwell_PR13,230,514,29,nc_state_senate_district_44
caldwell_PR14,188,391,20,nc_state_senate_district_44
caldwell_PR15,206,574,17,nc_state_senate_district_44
caldwell_PR16,197,137,9,nc_state_senate_district_44
caldwell_PR17,158,233,11,nc_state_senate_district_44
caldwell_PR18,385,566,18,nc_state_senate_district_44
caldwell_PR21,244,471,16,nc_state_senate_district_44
caldwell_PR22,228,490,5,nc_state_senate_district_44
caldwell_PR24,129,272,3,nc_state_senate_district_44
caldwell_PR25,161,270,16,nc_state_senate_district_44
caldwell_PR28,153,508,14,nc_state_senate_district_44
caldwell_PR29,208,267,16,nc_state_senate_district_44
caldwell_PR30,293,169,11,nc_state_senate_district_44
caldwell_PR31,158,166,6,nc_state_senate_district_44
caldwell_PR32,228,510,11,nc_state_senate_district_44
