prec_id,Jim Crawford,Barbara Howe,election
granville_ANTI,497,50,nc_house_of_representatives_district_32
granville_BERE,458,140,nc_house_of_representatives_district_32
granville_BTNR,759,226,nc_house_of_representatives_district_32
granville_CORI,684,113,nc_house_of_representatives_district_32
granville_CRDL,668,96,nc_house_of_representatives_district_32
granville_CRDM,988,363,nc_house_of_representatives_district_32
granville_EAOX,845,76,nc_house_of_representatives_district_32
granville_MTEN,681,377,nc_house_of_representatives_district_32
granville_OKHL,424,74,nc_house_of_representatives_district_32
granville_SALM,559,122,nc_house_of_representatives_district_32
granville_SASS,583,119,nc_house_of_representatives_district_32
granville_SOOX,569,38,nc_house_of_representatives_district_32
granville_TYHO,689,386,nc_house_of_representatives_district_32
granville_WILT,774,716,nc_house_of_representatives_district_32
granville_WOEL,486,69,nc_house_of_representatives_district_32
vance_CC,193,65,nc_house_of_representatives_district_32
vance_HTOP,369,43,nc_house_of_representatives_district_32
vance_KITT,1171,333,nc_house_of_representatives_district_32
vance_SCRK,1330,249,nc_house_of_representatives_district_32
vance_SH1,739,82,nc_house_of_representatives_district_32
vance_SH2,290,49,nc_house_of_representatives_district_32
