prec_id,Philip E. (Phil) Berger,election
guilford_FEN2,769,nc_state_senate_district_26
guilford_FR3,511,nc_state_senate_district_26
guilford_FR4,536,nc_state_senate_district_26
guilford_FR5A,574,nc_state_senate_district_26
guilford_FR5B,417,nc_state_senate_district_26
guilford_G39,244,nc_state_senate_district_26
guilford_G40A1,542,nc_state_senate_district_26
guilford_G40A2,327,nc_state_senate_district_26
guilford_G41A,361,nc_state_senate_district_26
guilford_G41B,547,nc_state_senate_district_26
guilford_G64,2,nc_state_senate_district_26
guilford_GIB,560,nc_state_senate_district_26
guilford_GR,840,nc_state_senate_district_26
guilford_JEF1,710,nc_state_senate_district_26
guilford_JEF2,461,nc_state_senate_district_26
guilford_JEF4,490,nc_state_senate_district_26
guilford_MON3,1223,nc_state_senate_district_26
guilford_NCGR1,1113,nc_state_senate_district_26
guilford_NCGR2,638,nc_state_senate_district_26
guilford_NCLAY1,913,nc_state_senate_district_26
guilford_NCLAY2,502,nc_state_senate_district_26
guilford_NDRI,768,nc_state_senate_district_26
guilford_NMAD,547,nc_state_senate_district_26
guilford_NWASH,473,nc_state_senate_district_26
guilford_OR1,1253,nc_state_senate_district_26
guilford_OR2,891,nc_state_senate_district_26
guilford_RC1,717,nc_state_senate_district_26
guilford_RC2,846,nc_state_senate_district_26
guilford_SCLAY,737,nc_state_senate_district_26
guilford_SF1,1135,nc_state_senate_district_26
guilford_SF2,609,nc_state_senate_district_26
guilford_SF3,856,nc_state_senate_district_26
guilford_SF4,1218,nc_state_senate_district_26
guilford_SMAD,712,nc_state_senate_district_26
guilford_STOK,1288,nc_state_senate_district_26
guilford_SWASH,301,nc_state_senate_district_26
rockingham_DR,650,nc_state_senate_district_26
rockingham_EC,1408,nc_state_senate_district_26
rockingham_ED-1,1262,nc_state_senate_district_26
rockingham_HO,573,nc_state_senate_district_26
rockingham_HU,1163,nc_state_senate_district_26
rockingham_IR,866,nc_state_senate_district_26
rockingham_LI,1182,nc_state_senate_district_26
rockingham_LK-2,1180,nc_state_senate_district_26
rockingham_MA,1255,nc_state_senate_district_26
rockingham_MC,1434,nc_state_senate_district_26
rockingham_MS,1749,nc_state_senate_district_26
rockingham_NB,1169,nc_state_senate_district_26
rockingham_RC,1656,nc_state_senate_district_26
rockingham_SE,1028,nc_state_senate_district_26
rockingham_WS,1931,nc_state_senate_district_26
