prec_id,Malcolm Graham,John Aneralla,election
mecklenburg_3,650,90,nc_state_senate_district_40
mecklenburg_14,580,49,nc_state_senate_district_40
mecklenburg_26,1085,186,nc_state_senate_district_40
mecklenburg_27,410,34,nc_state_senate_district_40
mecklenburg_28,476,115,nc_state_senate_district_40
mecklenburg_30,492,157,nc_state_senate_district_40
mecklenburg_42,1062,47,nc_state_senate_district_40
mecklenburg_43,714,129,nc_state_senate_district_40
mecklenburg_56,156,5,nc_state_senate_district_40
mecklenburg_60,825,46,nc_state_senate_district_40
mecklenburg_82,738,52,nc_state_senate_district_40
mecklenburg_104,1065,85,nc_state_senate_district_40
mecklenburg_105,706,220,nc_state_senate_district_40
mecklenburg_107.1,905,308,nc_state_senate_district_40
mecklenburg_126,837,191,nc_state_senate_district_40
mecklenburg_127,488,1218,nc_state_senate_district_40
mecklenburg_128,643,599,nc_state_senate_district_40
mecklenburg_132,454,234,nc_state_senate_district_40
mecklenburg_133,394,1234,nc_state_senate_district_40
mecklenburg_135,1474,330,nc_state_senate_district_40
mecklenburg_141,209,68,nc_state_senate_district_40
mecklenburg_142,529,1288,nc_state_senate_district_40
mecklenburg_143,609,1508,nc_state_senate_district_40
mecklenburg_145,1707,1718,nc_state_senate_district_40
mecklenburg_146,1018,243,nc_state_senate_district_40
mecklenburg_149,1131,290,nc_state_senate_district_40
mecklenburg_151,923,352,nc_state_senate_district_40
mecklenburg_202,797,1384,nc_state_senate_district_40
mecklenburg_204.1,1381,341,nc_state_senate_district_40
mecklenburg_206,884,830,nc_state_senate_district_40
mecklenburg_207,427,1247,nc_state_senate_district_40
mecklenburg_208,447,1541,nc_state_senate_district_40
mecklenburg_211,7,7,nc_state_senate_district_40
mecklenburg_212,1894,692,nc_state_senate_district_40
mecklenburg_213,1152,192,nc_state_senate_district_40
mecklenburg_214,805,494,nc_state_senate_district_40
mecklenburg_237,828,275,nc_state_senate_district_40
mecklenburg_238.1,629,564,nc_state_senate_district_40
mecklenburg_239,681,406,nc_state_senate_district_40
mecklenburg_240,464,1298,nc_state_senate_district_40
mecklenburg_241,543,1074,nc_state_senate_district_40
mecklenburg_242,225,1204,nc_state_senate_district_40
mecklenburg_CURBSIDE,216,25,nc_state_senate_district_40
