prec_id,Randy Stewart,Jeffrey L. (Jeff) Collins,election
nash_0001,353,605,nc_house_of_representatives_district_25
nash_0003,199,213,nc_house_of_representatives_district_25
nash_0004,128,683,nc_house_of_representatives_district_25
nash_0005,343,478,nc_house_of_representatives_district_25
nash_0006,225,449,nc_house_of_representatives_district_25
nash_0007,284,106,nc_house_of_representatives_district_25
nash_0008,208,340,nc_house_of_representatives_district_25
nash_0011,608,386,nc_house_of_representatives_district_25
nash_0012,117,220,nc_house_of_representatives_district_25
nash_0015,731,764,nc_house_of_representatives_district_25
nash_0022,250,175,nc_house_of_representatives_district_25
nash_0025,332,569,nc_house_of_representatives_district_25
nash_0026,161,630,nc_house_of_representatives_district_25
nash_0034,450,137,nc_house_of_representatives_district_25
nash_0035,291,648,nc_house_of_representatives_district_25
nash_0036,353,480,nc_house_of_representatives_district_25
nash_0037,395,504,nc_house_of_representatives_district_25
nash_0038,470,294,nc_house_of_representatives_district_25
nash_0039,294,528,nc_house_of_representatives_district_25
nash_0041,118,305,nc_house_of_representatives_district_25
