prec_id,David Donovan,Richard Stevens,election
wake_36586,284,548,nc_state_senate_district_17
wake_43925,162,175,nc_state_senate_district_17
wake_43927,430,707,nc_state_senate_district_17
wake_43928,357,844,nc_state_senate_district_17
wake_43931,438,636,nc_state_senate_district_17
wake_43934,599,785,nc_state_senate_district_17
wake_43935,292,449,nc_state_senate_district_17
wake_43937,419,472,nc_state_senate_district_17
wake_43940,294,435,nc_state_senate_district_17
wake_43986,386,456,nc_state_senate_district_17
wake_43987,319,873,nc_state_senate_district_17
wake_43988,528,782,nc_state_senate_district_17
wake_43989,391,657,nc_state_senate_district_17
wake_43990,369,429,nc_state_senate_district_17
wake_43991,373,643,nc_state_senate_district_17
wake_43992,215,389,nc_state_senate_district_17
wake_44166,365,991,nc_state_senate_district_17
wake_44167,402,642,nc_state_senate_district_17
wake_44169,251,796,nc_state_senate_district_17
wake_44170,524,1288,nc_state_senate_district_17
wake_44171,239,518,nc_state_senate_district_17
wake_44172,268,557,nc_state_senate_district_17
wake_44173,497,610,nc_state_senate_district_17
wake_44174,292,482,nc_state_senate_district_17
wake_15-01,402,1032,nc_state_senate_district_17
wake_15-02,602,1189,nc_state_senate_district_17
wake_15-03,417,1173,nc_state_senate_district_17
wake_15-04,258,536,nc_state_senate_district_17
wake_16-01,143,198,nc_state_senate_district_17
wake_16-03,286,279,nc_state_senate_district_17
wake_16-04,389,460,nc_state_senate_district_17
wake_16-05,370,537,nc_state_senate_district_17
wake_16-06,220,199,nc_state_senate_district_17
wake_16-07,573,770,nc_state_senate_district_17
wake_16-09,459,396,nc_state_senate_district_17
wake_18-01,68,12,nc_state_senate_district_17
wake_18-02,438,1253,nc_state_senate_district_17
wake_18-03,333,622,nc_state_senate_district_17
wake_18-04,448,982,nc_state_senate_district_17
wake_18-05,612,1143,nc_state_senate_district_17
wake_18-06,137,168,nc_state_senate_district_17
wake_18-07,356,912,nc_state_senate_district_17
wake_18-08,359,578,nc_state_senate_district_17
wake_20-01,357,326,nc_state_senate_district_17
wake_20-02,432,712,nc_state_senate_district_17
wake_20-03,339,518,nc_state_senate_district_17
wake_20-04,457,670,nc_state_senate_district_17
wake_20-05,444,813,nc_state_senate_district_17
wake_20-06A,467,554,nc_state_senate_district_17
wake_20-06B,371,709,nc_state_senate_district_17
wake_20-08,411,740,nc_state_senate_district_17
wake_20-09,281,597,nc_state_senate_district_17
wake_20-10,487,692,nc_state_senate_district_17
wake_20-11,385,678,nc_state_senate_district_17
wake_20-12,230,485,nc_state_senate_district_17
