prec_id,Robert (Bob) Rucho,election
mecklenburg_19,605,nc_state_senate_district_39
mecklenburg_36,831,nc_state_senate_district_39
mecklenburg_48,839,nc_state_senate_district_39
mecklenburg_57,649,nc_state_senate_district_39
mecklenburg_58,344,nc_state_senate_district_39
mecklenburg_59,287,nc_state_senate_district_39
mecklenburg_65,502,nc_state_senate_district_39
mecklenburg_67,579,nc_state_senate_district_39
mecklenburg_68,346,nc_state_senate_district_39
mecklenburg_69,1372,nc_state_senate_district_39
mecklenburg_70,865,nc_state_senate_district_39
mecklenburg_71,796,nc_state_senate_district_39
mecklenburg_72,580,nc_state_senate_district_39
mecklenburg_73,541,nc_state_senate_district_39
mecklenburg_74,829,nc_state_senate_district_39
mecklenburg_75,1199,nc_state_senate_district_39
mecklenburg_76,1030,nc_state_senate_district_39
mecklenburg_85,611,nc_state_senate_district_39
mecklenburg_86,936,nc_state_senate_district_39
mecklenburg_87,623,nc_state_senate_district_39
mecklenburg_88,633,nc_state_senate_district_39
mecklenburg_90,545,nc_state_senate_district_39
mecklenburg_91,1528,nc_state_senate_district_39
mecklenburg_92,952,nc_state_senate_district_39
mecklenburg_93,684,nc_state_senate_district_39
mecklenburg_96,581,nc_state_senate_district_39
mecklenburg_100,828,nc_state_senate_district_39
mecklenburg_101,780,nc_state_senate_district_39
mecklenburg_103,1180,nc_state_senate_district_39
mecklenburg_106,660,nc_state_senate_district_39
mecklenburg_110,548,nc_state_senate_district_39
mecklenburg_111,891,nc_state_senate_district_39
mecklenburg_112,803,nc_state_senate_district_39
mecklenburg_113,1177,nc_state_senate_district_39
mecklenburg_114,1028,nc_state_senate_district_39
mecklenburg_118,823,nc_state_senate_district_39
mecklenburg_119,498,nc_state_senate_district_39
mecklenburg_121,1464,nc_state_senate_district_39
mecklenburg_129,157,nc_state_senate_district_39
mecklenburg_131,697,nc_state_senate_district_39
mecklenburg_136,705,nc_state_senate_district_39
mecklenburg_137,1725,nc_state_senate_district_39
mecklenburg_139.1,955,nc_state_senate_district_39
mecklenburg_140,1471,nc_state_senate_district_39
mecklenburg_144,1052,nc_state_senate_district_39
mecklenburg_148,1949,nc_state_senate_district_39
mecklenburg_215,945,nc_state_senate_district_39
mecklenburg_217,682,nc_state_senate_district_39
mecklenburg_225,323,nc_state_senate_district_39
mecklenburg_226,935,nc_state_senate_district_39
mecklenburg_227,1397,nc_state_senate_district_39
mecklenburg_231,761,nc_state_senate_district_39
mecklenburg_232,1464,nc_state_senate_district_39
mecklenburg_233,1497,nc_state_senate_district_39
mecklenburg_CURBSIDE,64,nc_state_senate_district_39
