prec_id,Danny McComas,election
new hanover_FP02,769,nc_house_of_representatives_district_19
new hanover_FP03,621,nc_house_of_representatives_district_19
new hanover_FP04,1274,nc_house_of_representatives_district_19
new hanover_FP05,641,nc_house_of_representatives_district_19
new hanover_FP06,1031,nc_house_of_representatives_district_19
new hanover_FP07,1326,nc_house_of_representatives_district_19
new hanover_H03,1825,nc_house_of_representatives_district_19
new hanover_M02,2286,nc_house_of_representatives_district_19
new hanover_M03,961,nc_house_of_representatives_district_19
new hanover_M04,2039,nc_house_of_representatives_district_19
new hanover_M06,1153,nc_house_of_representatives_district_19
new hanover_M07,698,nc_house_of_representatives_district_19
new hanover_W16,1106,nc_house_of_representatives_district_19
new hanover_W17,828,nc_house_of_representatives_district_19
new hanover_W21,1057,nc_house_of_representatives_district_19
new hanover_W26,467,nc_house_of_representatives_district_19
new hanover_W30,910,nc_house_of_representatives_district_19
new hanover_W31,1461,nc_house_of_representatives_district_19
new hanover_WB,788,nc_house_of_representatives_district_19
