prec_id,Clark Jenkins,C. B. Daughtridge,election
edgecombe_0101,589,39,nc_state_senate_district_3
edgecombe_0102,484,239,nc_state_senate_district_3
edgecombe_0103,379,332,nc_state_senate_district_3
edgecombe_0104,350,201,nc_state_senate_district_3
edgecombe_0201,231,162,nc_state_senate_district_3
edgecombe_0301,90,60,nc_state_senate_district_3
edgecombe_0401,153,54,nc_state_senate_district_3
edgecombe_0501,142,69,nc_state_senate_district_3
edgecombe_0601,293,93,nc_state_senate_district_3
edgecombe_0701,468,127,nc_state_senate_district_3
edgecombe_0801,182,198,nc_state_senate_district_3
edgecombe_0901,187,319,nc_state_senate_district_3
edgecombe_1001,534,385,nc_state_senate_district_3
edgecombe_1101,162,173,nc_state_senate_district_3
edgecombe_1201,798,36,nc_state_senate_district_3
edgecombe_1202,398,25,nc_state_senate_district_3
edgecombe_1203,433,400,nc_state_senate_district_3
edgecombe_1204,447,22,nc_state_senate_district_3
edgecombe_1205,283,5,nc_state_senate_district_3
edgecombe_1301,165,242,nc_state_senate_district_3
edgecombe_1401,107,239,nc_state_senate_district_3
martin_BG,232,339,nc_state_senate_district_3
martin_CR,172,166,nc_state_senate_district_3
martin_GN,279,111,nc_state_senate_district_3
martin_GR,222,233,nc_state_senate_district_3
martin_HM,232,115,nc_state_senate_district_3
martin_HS,107,29,nc_state_senate_district_3
martin_J,345,355,nc_state_senate_district_3
martin_PP,48,42,nc_state_senate_district_3
martin_R1,236,109,nc_state_senate_district_3
martin_R2,323,131,nc_state_senate_district_3
martin_W,171,152,nc_state_senate_district_3
martin_W1,498,280,nc_state_senate_district_3
martin_W2,606,275,nc_state_senate_district_3
pitt_0101,324,231,nc_state_senate_district_3
pitt_0200B,306,125,nc_state_senate_district_3
pitt_0301,570,284,nc_state_senate_district_3
pitt_0401,433,194,nc_state_senate_district_3
pitt_0501,166,244,nc_state_senate_district_3
pitt_0601,219,605,nc_state_senate_district_3
pitt_0701,208,385,nc_state_senate_district_3
pitt_0901,108,85,nc_state_senate_district_3
pitt_1001,434,509,nc_state_senate_district_3
pitt_1101,190,185,nc_state_senate_district_3
pitt_1102A,223,422,nc_state_senate_district_3
pitt_1102B,324,673,nc_state_senate_district_3
pitt_1201,366,432,nc_state_senate_district_3
pitt_1301,105,182,nc_state_senate_district_3
pitt_1402B,7,6,nc_state_senate_district_3
pitt_1501,227,15,nc_state_senate_district_3
pitt_1503,399,43,nc_state_senate_district_3
pitt_1504A,456,70,nc_state_senate_district_3
pitt_1504B,395,141,nc_state_senate_district_3
pitt_1505A,271,141,nc_state_senate_district_3
pitt_1505B,534,62,nc_state_senate_district_3
pitt_1506,234,88,nc_state_senate_district_3
pitt_1509,119,115,nc_state_senate_district_3
pitt_1512A,160,60,nc_state_senate_district_3
