prec_id,Charlie Dannelly,Cedric Scott,election
mecklenburg_11,1024,620,nc_state_senate_district_38
mecklenburg_12,607,40,nc_state_senate_district_38
mecklenburg_13,549,178,nc_state_senate_district_38
mecklenburg_16,1320,9,nc_state_senate_district_38
mecklenburg_22,711,219,nc_state_senate_district_38
mecklenburg_23,391,62,nc_state_senate_district_38
mecklenburg_24,564,76,nc_state_senate_district_38
mecklenburg_25,838,11,nc_state_senate_district_38
mecklenburg_27,231,10,nc_state_senate_district_38
mecklenburg_31,684,24,nc_state_senate_district_38
mecklenburg_39,524,27,nc_state_senate_district_38
mecklenburg_40,536,103,nc_state_senate_district_38
mecklenburg_41,588,67,nc_state_senate_district_38
mecklenburg_52,928,31,nc_state_senate_district_38
mecklenburg_53,758,119,nc_state_senate_district_38
mecklenburg_54,820,25,nc_state_senate_district_38
mecklenburg_55,574,22,nc_state_senate_district_38
mecklenburg_56,276,2,nc_state_senate_district_38
mecklenburg_77,777,59,nc_state_senate_district_38
mecklenburg_078.1,366,137,nc_state_senate_district_38
mecklenburg_79,416,287,nc_state_senate_district_38
mecklenburg_80,669,287,nc_state_senate_district_38
mecklenburg_81,1012,283,nc_state_senate_district_38
mecklenburg_89,1183,919,nc_state_senate_district_38
mecklenburg_97,347,115,nc_state_senate_district_38
mecklenburg_98,541,107,nc_state_senate_district_38
mecklenburg_120,442,113,nc_state_senate_district_38
mecklenburg_122,943,896,nc_state_senate_district_38
mecklenburg_134,714,1162,nc_state_senate_district_38
mecklenburg_138,534,211,nc_state_senate_district_38
mecklenburg_147,874,184,nc_state_senate_district_38
mecklenburg_150,675,490,nc_state_senate_district_38
mecklenburg_200,211,301,nc_state_senate_district_38
mecklenburg_209,646,1012,nc_state_senate_district_38
mecklenburg_210,2070,227,nc_state_senate_district_38
mecklenburg_211,1430,811,nc_state_senate_district_38
mecklenburg_222,1274,574,nc_state_senate_district_38
mecklenburg_223.1,1199,1031,nc_state_senate_district_38
mecklenburg_224,437,464,nc_state_senate_district_38
mecklenburg_228,683,389,nc_state_senate_district_38
mecklenburg_229,947,1276,nc_state_senate_district_38
mecklenburg_230,1175,715,nc_state_senate_district_38
mecklenburg_243,1288,1212,nc_state_senate_district_38
mecklenburg_CURBSIDE,414,26,nc_state_senate_district_38
