prec_id,"John J. Snow, Jr.",Jim Davis,election
cherokee_ANNW,484,299,nc_state_senate_district_50
cherokee_ANSW,480,372,nc_state_senate_district_50
cherokee_BELL,217,269,nc_state_senate_district_50
cherokee_BRAS,217,179,nc_state_senate_district_50
cherokee_CSON,153,197,nc_state_senate_district_50
cherokee_GCRK,124,101,nc_state_senate_district_50
cherokee_HANG,173,241,nc_state_senate_district_50
cherokee_HIWA,370,502,nc_state_senate_district_50
cherokee_HOTH,197,347,nc_state_senate_district_50
cherokee_MARB,375,314,nc_state_senate_district_50
cherokee_MURN,600,372,nc_state_senate_district_50
cherokee_MURS,607,464,nc_state_senate_district_50
cherokee_PCHT,610,485,nc_state_senate_district_50
cherokee_RGER,354,346,nc_state_senate_district_50
cherokee_TOPT,108,119,nc_state_senate_district_50
cherokee_UNKA,112,132,nc_state_senate_district_50
cherokee_CURBSIDE,0,0,nc_state_senate_district_50
clay_BRAS,226,231,nc_state_senate_district_50
clay_HAY1,355,332,nc_state_senate_district_50
clay_HAY2,407,403,nc_state_senate_district_50
clay_HAYC,137,119,nc_state_senate_district_50
clay_HIAW,339,406,nc_state_senate_district_50
clay_SHCR,252,460,nc_state_senate_district_50
clay_SWEE,184,236,nc_state_senate_district_50
clay_TUSQ,187,235,nc_state_senate_district_50
clay_WARN,171,226,nc_state_senate_district_50
graham_EAST,907,555,nc_state_senate_district_50
graham_STEC,245,388,nc_state_senate_district_50
graham_TAPO,118,172,nc_state_senate_district_50
graham_WEST,791,485,nc_state_senate_district_50
haywood_CE,64,133,nc_state_senate_district_50
haywood_EF,214,316,nc_state_senate_district_50
haywood_P,467,750,nc_state_senate_district_50
haywood_PC,233,310,nc_state_senate_district_50
haywood_CURBSIDE,12,4,nc_state_senate_district_50
jackson_BCK,253,322,nc_state_senate_district_50
jackson_CAN,105,105,nc_state_senate_district_50
jackson_CAS,327,720,nc_state_senate_district_50
jackson_CFK,151,118,nc_state_senate_district_50
jackson_CUL,890,514,nc_state_senate_district_50
jackson_DIL,278,237,nc_state_senate_district_50
jackson_GCK,280,190,nc_state_senate_district_50
jackson_GLV,202,411,nc_state_senate_district_50
jackson_QUA,608,549,nc_state_senate_district_50
jackson_RIV,210,158,nc_state_senate_district_50
jackson_SAV,265,267,nc_state_senate_district_50
jackson_SCC,438,304,nc_state_senate_district_50
jackson_SNW,488,281,nc_state_senate_district_50
jackson_SSW,793,448,nc_state_senate_district_50
jackson_WEB,608,358,nc_state_senate_district_50
jackson_CURBSIDE,39,28,nc_state_senate_district_50
macon_01,219,207,nc_state_senate_district_50
macon_02,142,149,nc_state_senate_district_50
macon_03,234,238,nc_state_senate_district_50
macon_04,171,175,nc_state_senate_district_50
macon_05,282,291,nc_state_senate_district_50
macon_06,215,246,nc_state_senate_district_50
macon_07,252,237,nc_state_senate_district_50
macon_08,60,105,nc_state_senate_district_50
macon_09,401,539,nc_state_senate_district_50
macon_10,66,104,nc_state_senate_district_50
macon_11,327,393,nc_state_senate_district_50
macon_12,289,251,nc_state_senate_district_50
macon_13,119,126,nc_state_senate_district_50
macon_14,116,173,nc_state_senate_district_50
macon_15,241,243,nc_state_senate_district_50
swain_ALARKA,271,222,nc_state_senate_district_50
swain_ALMOND,344,344,nc_state_senate_district_50
swain_BC1,633,506,nc_state_senate_district_50
swain_BC2,653,520,nc_state_senate_district_50
swain_WHCH,578,381,nc_state_senate_district_50
transylvania_B1,527,356,nc_state_senate_district_50
transylvania_B2,381,246,nc_state_senate_district_50
transylvania_B3,476,470,nc_state_senate_district_50
transylvania_B4,428,312,nc_state_senate_district_50
transylvania_BD,525,667,nc_state_senate_district_50
transylvania_BG,69,131,nc_state_senate_district_50
transylvania_CC,491,647,nc_state_senate_district_50
transylvania_CM,177,207,nc_state_senate_district_50
transylvania_DR,689,688,nc_state_senate_district_50
transylvania_EF,234,234,nc_state_senate_district_50
transylvania_GL,56,138,nc_state_senate_district_50
transylvania_LR,274,426,nc_state_senate_district_50
transylvania_LT,109,240,nc_state_senate_district_50
transylvania_PF,250,332,nc_state_senate_district_50
transylvania_QB,122,149,nc_state_senate_district_50
transylvania_RE,322,556,nc_state_senate_district_50
transylvania_SW,81,154,nc_state_senate_district_50
transylvania_WC,474,547,nc_state_senate_district_50
