Jim Hinkamp,Tim Egan,Rafael A. Vargas,Bita Buenrostro,Charles E. Eastwood,Michael ''Mike'' Jankovich,Michele Smith,Carmen Olmetti,Mitchell A. Newman,prec_id
5.0,59.0,102.0,7.0,23.0,4.0,118.0,4.0,26.0,C43001
12.0,77.0,15.0,11.0,33.0,2.0,105.0,9.0,15.0,C43002
6.0,86.0,16.0,1.0,34.0,4.0,99.0,2.0,24.0,C43003
19.0,123.0,20.0,18.0,37.0,17.0,98.0,7.0,34.0,C43004
3.0,73.0,27.0,9.0,22.0,5.0,114.0,3.0,24.0,C43005
9.0,55.0,17.0,6.0,36.0,3.0,64.0,6.0,13.0,C43006
12.0,72.0,23.0,12.0,45.0,4.0,119.0,3.0,13.0,C43007
6.0,107.0,31.0,14.0,31.0,8.0,146.0,2.0,8.0,C43008
7.0,73.0,25.0,6.0,36.0,6.0,64.0,3.0,11.0,C43009
4.0,68.0,18.0,3.0,28.0,2.0,91.0,6.0,27.0,C43010
9.0,67.0,18.0,4.0,45.0,2.0,63.0,4.0,6.0,C43011
4.0,110.0,23.0,5.0,19.0,3.0,133.0,5.0,20.0,C43012
1.0,46.0,16.0,2.0,10.0,10.0,52.0,0.0,12.0,C43013
0.0,51.0,10.0,4.0,14.0,2.0,146.0,1.0,6.0,C43014
4.0,71.0,28.0,1.0,32.0,2.0,86.0,1.0,9.0,C43015
6.0,83.0,20.0,9.0,41.0,2.0,95.0,0.0,13.0,C43016
8.0,78.0,13.0,7.0,55.0,0.0,142.0,2.0,8.0,C43017
13.0,93.0,19.0,12.0,20.0,10.0,122.0,5.0,17.0,C43018
9.0,55.0,8.0,4.0,12.0,64.0,47.0,1.0,7.0,C43019
1.0,54.0,19.0,7.0,34.0,7.0,132.0,4.0,11.0,C43020
4.0,45.0,13.0,3.0,34.0,3.0,137.0,4.0,8.0,C43021
6.0,42.0,11.0,28.0,34.0,5.0,70.0,9.0,9.0,C43022
6.0,76.0,20.0,3.0,47.0,4.0,67.0,1.0,10.0,C43023
2.0,76.0,55.0,16.0,29.0,7.0,80.0,3.0,10.0,C43024
13.0,69.0,21.0,6.0,18.0,5.0,114.0,0.0,28.0,C43025
6.0,89.0,19.0,9.0,16.0,9.0,72.0,3.0,11.0,C43026
3.0,71.0,17.0,0.0,21.0,3.0,83.0,2.0,12.0,C43027
23.0,139.0,23.0,16.0,20.0,10.0,137.0,2.0,10.0,C43028
1.0,83.0,14.0,11.0,37.0,1.0,70.0,2.0,3.0,C43029
33.0,40.0,15.0,0.0,11.0,13.0,62.0,3.0,6.0,C43030
7.0,67.0,17.0,8.0,46.0,3.0,157.0,2.0,8.0,C43031
0.0,66.0,18.0,11.0,35.0,1.0,147.0,1.0,3.0,C43032
1.0,48.0,17.0,3.0,16.0,6.0,58.0,1.0,9.0,C43033
4.0,48.0,13.0,4.0,14.0,4.0,31.0,2.0,5.0,C43034
15.0,149.0,19.0,7.0,13.0,4.0,101.0,0.0,9.0,C43035
8.0,66.0,13.0,8.0,8.0,12.0,88.0,3.0,7.0,C43036
4.0,60.0,22.0,9.0,16.0,5.0,55.0,2.0,40.0,C43037
7.0,58.0,16.0,11.0,19.0,2.0,73.0,3.0,6.0,C43038
18.0,89.0,9.0,10.0,5.0,3.0,83.0,0.0,1.0,C43039
6.0,65.0,6.0,2.0,12.0,4.0,18.0,1.0,3.0,C43040
3.0,37.0,11.0,4.0,28.0,0.0,56.0,0.0,2.0,C43041
4.0,91.0,8.0,4.0,12.0,0.0,93.0,0.0,6.0,C43042
4.0,70.0,27.0,6.0,14.0,2.0,68.0,2.0,13.0,C43043
10.0,67.0,14.0,8.0,27.0,5.0,116.0,5.0,5.0,C43044
4.0,28.0,1.0,1.0,15.0,2.0,40.0,2.0,0.0,C43045
12.0,108.0,25.0,3.0,22.0,2.0,141.0,0.0,10.0,C43046
4.0,67.0,36.0,3.0,23.0,4.0,95.0,0.0,19.0,C43047
5.0,52.0,11.0,14.0,17.0,9.0,111.0,4.0,8.0,C43048
3.0,89.0,13.0,4.0,37.0,6.0,63.0,2.0,14.0,C43049
4.0,46.0,12.0,7.0,30.0,2.0,97.0,0.0,5.0,C43050
4.0,55.0,33.0,13.0,30.0,27.0,104.0,5.0,14.0,C43051
9.0,67.0,34.0,5.0,15.0,9.0,62.0,1.0,18.0,C43052
9.0,54.0,29.0,11.0,22.0,4.0,100.0,11.0,6.0,C43053
4.0,49.0,11.0,11.0,21.0,23.0,68.0,4.0,11.0,C43054
2.0,38.0,128.0,8.0,6.0,0.0,81.0,2.0,11.0,C43055
4.0,40.0,17.0,5.0,17.0,3.0,86.0,0.0,13.0,C43056
2.0,65.0,15.0,2.0,33.0,4.0,60.0,2.0,4.0,C43057
1.0,45.0,13.0,4.0,39.0,0.0,73.0,3.0,5.0,C43058
1.0,70.0,7.0,4.0,14.0,1.0,166.0,2.0,7.0,C43059
