Don Blair,John Garrido,John Arena,Anna Klocek,Marina Yolanda Faz-Huppert,Bruno Bellissimo,Michael Fitzgerald Ward,prec_id
17.0,67.0,99.0,9.0,28.0,0.0,18.0,C45001
28.0,145.0,76.0,36.0,44.0,8.0,24.0,C45002
5.0,181.0,22.0,9.0,111.0,5.0,13.0,C45003
21.0,152.0,68.0,33.0,36.0,10.0,59.0,C45004
7.0,124.0,95.0,27.0,29.0,6.0,53.0,C45005
16.0,95.0,48.0,11.0,76.0,5.0,40.0,C45006
82.0,56.0,102.0,17.0,24.0,4.0,15.0,C45007
12.0,82.0,32.0,26.0,49.0,3.0,18.0,C45008
14.0,189.0,28.0,22.0,57.0,1.0,36.0,C45009
25.0,106.0,129.0,7.0,61.0,3.0,21.0,C45010
10.0,162.0,25.0,16.0,41.0,3.0,39.0,C45011
30.0,68.0,160.0,16.0,42.0,0.0,31.0,C45012
11.0,113.0,45.0,30.0,153.0,1.0,30.0,C45013
28.0,86.0,127.0,19.0,42.0,1.0,29.0,C45014
18.0,112.0,64.0,24.0,62.0,4.0,34.0,C45015
20.0,64.0,84.0,4.0,78.0,4.0,25.0,C45016
11.0,113.0,34.0,14.0,53.0,4.0,29.0,C45017
18.0,66.0,89.0,6.0,96.0,1.0,10.0,C45018
8.0,163.0,60.0,16.0,50.0,11.0,35.0,C45019
16.0,87.0,90.0,20.0,38.0,1.0,30.0,C45020
17.0,97.0,80.0,18.0,40.0,7.0,19.0,C45021
19.0,97.0,40.0,43.0,21.0,9.0,42.0,C45022
16.0,136.0,54.0,24.0,52.0,13.0,29.0,C45023
21.0,118.0,83.0,44.0,32.0,1.0,92.0,C45024
18.0,82.0,57.0,34.0,72.0,0.0,22.0,C45025
39.0,53.0,89.0,14.0,111.0,0.0,17.0,C45026
11.0,104.0,24.0,13.0,40.0,11.0,61.0,C45027
6.0,48.0,123.0,10.0,52.0,3.0,17.0,C45028
18.0,65.0,74.0,40.0,44.0,5.0,34.0,C45029
8.0,151.0,32.0,14.0,86.0,2.0,23.0,C45030
49.0,30.0,153.0,9.0,34.0,2.0,23.0,C45031
3.0,88.0,27.0,9.0,37.0,2.0,32.0,C45032
14.0,107.0,57.0,24.0,47.0,5.0,37.0,C45033
8.0,72.0,35.0,28.0,42.0,5.0,37.0,C45034
34.0,75.0,62.0,21.0,92.0,3.0,32.0,C45035
11.0,109.0,58.0,22.0,16.0,6.0,80.0,C45036
18.0,96.0,77.0,25.0,56.0,0.0,26.0,C45037
26.0,82.0,69.0,35.0,74.0,2.0,47.0,C45038
15.0,78.0,89.0,36.0,105.0,3.0,18.0,C45039
29.0,65.0,75.0,22.0,88.0,5.0,39.0,C45040
12.0,52.0,54.0,10.0,33.0,0.0,31.0,C45041
6.0,115.0,39.0,25.0,78.0,5.0,17.0,C45042
12.0,88.0,32.0,40.0,44.0,7.0,41.0,C45043
12.0,173.0,41.0,16.0,79.0,2.0,36.0,C45044
9.0,75.0,53.0,33.0,47.0,2.0,16.0,C45045
23.0,78.0,97.0,37.0,57.0,4.0,17.0,C45046
12.0,53.0,58.0,37.0,88.0,2.0,32.0,C45047
35.0,41.0,134.0,15.0,63.0,2.0,11.0,C45048
20.0,93.0,78.0,15.0,77.0,2.0,16.0,C45049
19.0,85.0,69.0,38.0,36.0,7.0,27.0,C45050
11.0,123.0,36.0,27.0,63.0,4.0,30.0,C45051
8.0,109.0,45.0,33.0,65.0,17.0,31.0,C45052
17.0,73.0,27.0,28.0,54.0,3.0,33.0,C45053
