Bernard L. Stone,Michael Charles Moses,Debra L. Silverstein,Greg Brewer,Ahmed Khan,prec_id
127.0,14.0,155.0,50.0,21.0,C50001
168.0,9.0,113.0,47.0,3.0,C50002
103.0,13.0,104.0,48.0,11.0,C50003
94.0,10.0,90.0,64.0,19.0,C50004
151.0,29.0,130.0,38.0,5.0,C50005
56.0,12.0,62.0,50.0,9.0,C50006
38.0,23.0,160.0,108.0,6.0,C50007
73.0,4.0,56.0,39.0,11.0,C50008
56.0,11.0,113.0,35.0,11.0,C50009
92.0,14.0,103.0,7.0,18.0,C50010
133.0,20.0,101.0,20.0,2.0,C50011
112.0,4.0,53.0,9.0,4.0,C50012
121.0,19.0,86.0,59.0,34.0,C50013
76.0,5.0,49.0,5.0,1.0,C50014
45.0,9.0,102.0,183.0,7.0,C50015
105.0,1.0,46.0,6.0,0.0,C50016
105.0,9.0,91.0,15.0,19.0,C50017
95.0,9.0,69.0,53.0,6.0,C50018
84.0,6.0,55.0,61.0,33.0,C50019
64.0,3.0,83.0,109.0,11.0,C50020
83.0,5.0,77.0,130.0,3.0,C50021
69.0,11.0,74.0,35.0,59.0,C50022
97.0,4.0,97.0,11.0,16.0,C50023
119.0,7.0,89.0,33.0,25.0,C50024
190.0,10.0,94.0,28.0,1.0,C50025
95.0,10.0,67.0,21.0,33.0,C50026
54.0,4.0,51.0,8.0,4.0,C50027
111.0,13.0,120.0,22.0,16.0,C50028
85.0,3.0,87.0,89.0,22.0,C50029
133.0,20.0,79.0,30.0,7.0,C50030
56.0,8.0,27.0,4.0,0.0,C50031
86.0,1.0,71.0,34.0,64.0,C50032
93.0,10.0,60.0,9.0,17.0,C50033
99.0,9.0,56.0,14.0,36.0,C50034
69.0,26.0,87.0,141.0,15.0,C50035
41.0,9.0,78.0,152.0,13.0,C50036
49.0,11.0,120.0,85.0,11.0,C50037
115.0,1.0,41.0,9.0,5.0,C50038
149.0,6.0,84.0,5.0,17.0,C50039
141.0,26.0,150.0,14.0,8.0,C50040
127.0,28.0,132.0,78.0,3.0,C50041
54.0,18.0,76.0,96.0,2.0,C50042
73.0,11.0,80.0,75.0,52.0,C50043
140.0,7.0,88.0,11.0,8.0,C50044
79.0,5.0,58.0,18.0,5.0,C50045
