Roberto Maldonado,Devon Reid,prec_id
107.0,22.0,C26001
171.0,26.0,C26002
106.0,35.0,C26003
95.0,21.0,C26004
143.0,52.0,C26005
119.0,5.0,C26006
94.0,15.0,C26007
94.0,35.0,C26008
84.0,20.0,C26009
94.0,17.0,C26010
111.0,30.0,C26011
73.0,14.0,C26012
114.0,48.0,C26013
82.0,6.0,C26014
108.0,15.0,C26015
76.0,10.0,C26016
104.0,20.0,C26017
79.0,13.0,C26018
151.0,67.0,C26019
126.0,27.0,C26020
98.0,34.0,C26021
78.0,18.0,C26022
101.0,8.0,C26023
91.0,17.0,C26024
36.0,7.0,C26025
67.0,15.0,C26026
113.0,22.0,C26027
104.0,25.0,C26028
114.0,15.0,C26029
84.0,21.0,C26030
115.0,20.0,C26031
129.0,17.0,C26032
66.0,15.0,C26033
103.0,41.0,C26034
147.0,22.0,C26035
85.0,20.0,C26036
81.0,4.0,C26037
68.0,22.0,C26038
103.0,20.0,C26039
65.0,22.0,C26040
119.0,24.0,C26041
85.0,22.0,C26042
84.0,10.0,C26043
48.0,20.0,C26044
122.0,32.0,C26045
168.0,30.0,C26046
73.0,7.0,C26047
143.0,24.0,C26048
85.0,17.0,C26049
64.0,15.0,C26050
127.0,20.0,C26051
42.0,13.0,C26052
93.0,22.0,C26053
78.0,16.0,C26054
99.0,10.0,C26055
73.0,27.0,C26056
99.0,16.0,C26057
92.0,15.0,C26058
122.0,22.0,C26059
87.0,24.0,C26060
73.0,12.0,C26061
131.0,25.0,C26062
40.0,6.0,C26063
