Jesus ''Jesse'' Iniguez,George Cardenas,Jose Guereca,Alberto Bocanegra Jr.,Maria E. ''Chula'' Ortiz,prec_id
19.0,74.0,39.0,4.0,1.0,C12001
18.0,119.0,34.0,5.0,3.0,C12002
35.0,86.0,20.0,39.0,4.0,C12003
17.0,98.0,16.0,11.0,2.0,C12004
14.0,96.0,19.0,11.0,3.0,C12005
16.0,63.0,39.0,4.0,5.0,C12006
44.0,157.0,35.0,9.0,1.0,C12007
66.0,171.0,77.0,17.0,10.0,C12008
73.0,69.0,24.0,3.0,7.0,C12009
35.0,109.0,35.0,13.0,6.0,C12010
36.0,165.0,37.0,21.0,5.0,C12011
25.0,106.0,53.0,3.0,3.0,C12012
58.0,165.0,63.0,8.0,9.0,C12013
19.0,112.0,35.0,23.0,18.0,C12014
5.0,73.0,89.0,2.0,3.0,C12015
107.0,62.0,13.0,6.0,2.0,C12016
24.0,144.0,53.0,4.0,16.0,C12017
35.0,106.0,25.0,31.0,8.0,C12018
32.0,147.0,25.0,53.0,8.0,C12019
23.0,107.0,22.0,13.0,2.0,C12020
23.0,122.0,37.0,16.0,8.0,C12021
17.0,72.0,34.0,4.0,3.0,C12022
34.0,127.0,37.0,7.0,9.0,C12023
23.0,147.0,54.0,17.0,2.0,C12024
