Richard F. Mell,prec_id
248.0,C33001
265.0,C33002
218.0,C33003
272.0,C33004
219.0,C33005
271.0,C33006
328.0,C33007
208.0,C33008
256.0,C33009
316.0,C33010
246.0,C33011
293.0,C33012
247.0,C33013
165.0,C33014
250.0,C33015
182.0,C33016
291.0,C33017
59.0,C33018
231.0,C33019
238.0,C33020
265.0,C33021
303.0,C33022
267.0,C33023
297.0,C33024
309.0,C33025
217.0,C33026
206.0,C33027
