Patrick J. O'Connor,prec_id
142.0,C40001
119.0,C40002
199.0,C40003
177.0,C40004
198.0,C40005
190.0,C40006
183.0,C40007
52.0,C40008
180.0,C40009
232.0,C40010
137.0,C40011
139.0,C40012
225.0,C40013
204.0,C40014
203.0,C40015
203.0,C40016
98.0,C40017
185.0,C40018
180.0,C40019
183.0,C40020
175.0,C40021
118.0,C40022
257.0,C40023
126.0,C40024
153.0,C40025
187.0,C40026
149.0,C40027
214.0,C40028
237.0,C40029
262.0,C40030
176.0,C40031
122.0,C40032
214.0,C40033
139.0,C40034
197.0,C40035
215.0,C40036
157.0,C40037
104.0,C40038
146.0,C40039
141.0,C40040
260.0,C40041
228.0,C40042
212.0,C40043
128.0,C40044
318.0,C40045
234.0,C40046
176.0,C40047
133.0,C40048
105.0,C40049
