Lionell R. Martin,Gregory I. Mitchell,Darcel A. Beavers,Sidney H. Brooks,Deborah Washington,Sandi Jackson,prec_id
15.0,73.0,100.0,0.0,9.0,217.0,C07001
7.0,39.0,49.0,4.0,5.0,146.0,C07002
19.0,8.0,62.0,1.0,1.0,64.0,C07003
9.0,17.0,30.0,0.0,7.0,116.0,C07004
12.0,21.0,45.0,1.0,5.0,88.0,C07005
10.0,10.0,72.0,0.0,4.0,95.0,C07006
3.0,13.0,68.0,2.0,6.0,70.0,C07007
1.0,6.0,32.0,2.0,2.0,32.0,C07008
21.0,20.0,46.0,3.0,4.0,119.0,C07009
9.0,9.0,35.0,13.0,2.0,89.0,C07010
7.0,31.0,64.0,6.0,4.0,140.0,C07011
4.0,13.0,48.0,0.0,9.0,104.0,C07012
7.0,17.0,39.0,12.0,2.0,77.0,C07013
12.0,10.0,80.0,9.0,6.0,127.0,C07014
13.0,11.0,45.0,3.0,1.0,54.0,C07015
8.0,10.0,41.0,2.0,2.0,64.0,C07016
4.0,9.0,55.0,0.0,4.0,42.0,C07017
4.0,13.0,31.0,2.0,8.0,95.0,C07018
6.0,21.0,102.0,3.0,5.0,180.0,C07019
3.0,5.0,30.0,1.0,5.0,35.0,C07020
4.0,14.0,48.0,3.0,3.0,149.0,C07021
8.0,7.0,58.0,2.0,4.0,77.0,C07022
17.0,15.0,51.0,5.0,7.0,143.0,C07023
4.0,38.0,61.0,1.0,6.0,99.0,C07024
6.0,77.0,74.0,3.0,8.0,116.0,C07025
15.0,38.0,104.0,1.0,6.0,112.0,C07026
14.0,24.0,84.0,5.0,1.0,215.0,C07027
11.0,14.0,81.0,8.0,5.0,103.0,C07028
10.0,11.0,62.0,5.0,9.0,107.0,C07029
11.0,38.0,49.0,3.0,8.0,142.0,C07030
2.0,36.0,53.0,0.0,3.0,122.0,C07031
3.0,6.0,40.0,0.0,5.0,100.0,C07032
3.0,24.0,59.0,3.0,5.0,94.0,C07033
7.0,20.0,43.0,4.0,5.0,106.0,C07034
7.0,65.0,53.0,3.0,6.0,153.0,C07035
6.0,17.0,80.0,0.0,13.0,101.0,C07036
2.0,10.0,36.0,0.0,2.0,46.0,C07037
1.0,48.0,31.0,1.0,7.0,63.0,C07038
5.0,35.0,41.0,5.0,3.0,97.0,C07039
24.0,23.0,55.0,2.0,6.0,162.0,C07040
6.0,29.0,38.0,0.0,7.0,113.0,C07041
9.0,21.0,100.0,4.0,7.0,165.0,C07042
7.0,42.0,68.0,4.0,29.0,94.0,C07043
23.0,38.0,47.0,9.0,7.0,229.0,C07044
10.0,48.0,68.0,4.0,10.0,203.0,C07045
6.0,19.0,10.0,5.0,3.0,89.0,C07046
0.0,85.0,24.0,0.0,5.0,75.0,C07047
3.0,26.0,47.0,0.0,7.0,106.0,C07048
1.0,14.0,40.0,0.0,3.0,55.0,C07049
12.0,18.0,37.0,4.0,4.0,92.0,C07050
18.0,26.0,90.0,10.0,5.0,197.0,C07051
2.0,22.0,66.0,2.0,1.0,72.0,C07052
3.0,34.0,53.0,2.0,5.0,79.0,C07053
2.0,3.0,41.0,0.0,1.0,41.0,C07054
0.0,31.0,32.0,2.0,6.0,127.0,C07055
14.0,23.0,37.0,6.0,2.0,109.0,C07056
5.0,26.0,45.0,8.0,8.0,78.0,C07057
7.0,52.0,61.0,2.0,7.0,152.0,C07058
3.0,16.0,23.0,1.0,7.0,63.0,C07059
4.0,26.0,32.0,1.0,10.0,60.0,C07060
3.0,35.0,43.0,0.0,5.0,100.0,C07061
