Sammy Clifford Pack Jr.,Sandra L. Mallory,Syron M. Smith,Toni L. Foulkes,Raymond A. Lopez,Harold L. Bailey,Felicia H. Simmons-Stovall,prec_id
3.0,3.0,3.0,77.0,50.0,9.0,3.0,C15001
19.0,8.0,3.0,68.0,7.0,5.0,14.0,C15002
19.0,4.0,7.0,53.0,13.0,0.0,17.0,C15003
17.0,10.0,24.0,52.0,2.0,8.0,19.0,C15004
24.0,12.0,17.0,60.0,1.0,8.0,5.0,C15005
7.0,4.0,4.0,74.0,31.0,16.0,7.0,C15006
20.0,8.0,10.0,71.0,1.0,22.0,10.0,C15007
8.0,9.0,10.0,80.0,46.0,25.0,23.0,C15008
4.0,3.0,8.0,80.0,23.0,24.0,20.0,C15009
0.0,0.0,2.0,30.0,94.0,1.0,2.0,C15010
9.0,4.0,11.0,94.0,16.0,18.0,16.0,C15011
4.0,2.0,10.0,41.0,4.0,10.0,6.0,C15012
2.0,3.0,4.0,34.0,66.0,11.0,6.0,C15013
4.0,4.0,2.0,69.0,104.0,15.0,20.0,C15014
12.0,6.0,9.0,64.0,39.0,13.0,10.0,C15015
1.0,1.0,3.0,46.0,54.0,6.0,6.0,C15016
78.0,5.0,11.0,53.0,9.0,5.0,9.0,C15017
12.0,19.0,4.0,56.0,2.0,7.0,5.0,C15018
27.0,11.0,8.0,68.0,5.0,9.0,14.0,C15019
4.0,3.0,9.0,39.0,3.0,15.0,6.0,C15020
8.0,12.0,9.0,87.0,4.0,7.0,11.0,C15021
8.0,5.0,5.0,97.0,18.0,38.0,25.0,C15022
46.0,3.0,4.0,41.0,3.0,4.0,7.0,C15023
9.0,9.0,5.0,61.0,19.0,30.0,6.0,C15024
7.0,9.0,10.0,61.0,56.0,17.0,5.0,C15025
11.0,15.0,14.0,61.0,4.0,16.0,16.0,C15026
6.0,2.0,13.0,75.0,7.0,15.0,15.0,C15027
3.0,2.0,1.0,63.0,90.0,32.0,18.0,C15028
4.0,2.0,3.0,25.0,0.0,16.0,9.0,C15029
4.0,10.0,13.0,64.0,10.0,37.0,13.0,C15030
16.0,12.0,10.0,50.0,0.0,11.0,13.0,C15031
6.0,3.0,10.0,50.0,48.0,14.0,6.0,C15032
6.0,6.0,9.0,75.0,7.0,23.0,8.0,C15033
4.0,28.0,4.0,93.0,1.0,5.0,6.0,C15034
78.0,4.0,2.0,70.0,3.0,8.0,8.0,C15035
62.0,7.0,5.0,39.0,6.0,5.0,10.0,C15036
3.0,23.0,4.0,38.0,0.0,13.0,15.0,C15037
11.0,2.0,7.0,58.0,21.0,20.0,8.0,C15038
16.0,9.0,15.0,73.0,5.0,17.0,18.0,C15039
11.0,7.0,5.0,76.0,4.0,7.0,9.0,C15040
25.0,4.0,14.0,97.0,36.0,27.0,17.0,C15041
9.0,5.0,17.0,41.0,0.0,11.0,3.0,C15042
19.0,3.0,10.0,48.0,3.0,6.0,26.0,C15043
4.0,6.0,14.0,62.0,62.0,17.0,11.0,C15044
3.0,3.0,2.0,29.0,23.0,9.0,5.0,C15045
2.0,8.0,3.0,62.0,2.0,5.0,8.0,C15046
12.0,16.0,21.0,83.0,2.0,30.0,22.0,C15047
8.0,2.0,5.0,40.0,12.0,35.0,9.0,C15048
7.0,11.0,3.0,35.0,28.0,20.0,4.0,C15049
16.0,5.0,13.0,42.0,11.0,37.0,17.0,C15050
10.0,16.0,2.0,53.0,2.0,11.0,7.0,C15051
24.0,10.0,10.0,52.0,2.0,6.0,10.0,C15052
