Burl L. Mcqueen,Henry Moses,Carrie M. Austin,Shirley J. White,Michael E. Mayden,prec_id
7.0,30.0,295.0,8.0,18.0,C34001
25.0,47.0,196.0,6.0,7.0,C34002
8.0,45.0,177.0,24.0,17.0,C34003
10.0,94.0,148.0,17.0,11.0,C34004
8.0,44.0,147.0,9.0,13.0,C34005
8.0,30.0,97.0,16.0,12.0,C34006
8.0,36.0,254.0,16.0,7.0,C34007
7.0,43.0,158.0,56.0,9.0,C34008
3.0,26.0,115.0,17.0,10.0,C34009
3.0,31.0,203.0,8.0,12.0,C34010
6.0,22.0,90.0,17.0,9.0,C34011
15.0,63.0,192.0,33.0,7.0,C34012
7.0,48.0,150.0,72.0,8.0,C34013
11.0,18.0,115.0,13.0,16.0,C34014
5.0,20.0,104.0,9.0,40.0,C34015
6.0,29.0,103.0,10.0,17.0,C34016
5.0,47.0,144.0,19.0,13.0,C34017
4.0,25.0,91.0,22.0,8.0,C34018
3.0,15.0,32.0,8.0,4.0,C34019
32.0,61.0,266.0,26.0,10.0,C34020
4.0,59.0,169.0,21.0,5.0,C34021
15.0,57.0,197.0,34.0,13.0,C34022
23.0,24.0,137.0,32.0,12.0,C34023
15.0,54.0,125.0,13.0,8.0,C34024
19.0,40.0,182.0,26.0,8.0,C34025
2.0,22.0,85.0,16.0,8.0,C34026
7.0,73.0,94.0,8.0,11.0,C34027
5.0,9.0,114.0,17.0,4.0,C34028
7.0,43.0,166.0,28.0,6.0,C34029
76.0,38.0,166.0,18.0,18.0,C34030
3.0,15.0,81.0,13.0,6.0,C34031
4.0,21.0,115.0,22.0,3.0,C34032
2.0,10.0,82.0,18.0,6.0,C34033
13.0,34.0,221.0,37.0,10.0,C34034
2.0,21.0,218.0,34.0,9.0,C34035
53.0,27.0,174.0,24.0,11.0,C34036
6.0,30.0,146.0,37.0,3.0,C34037
8.0,32.0,111.0,17.0,8.0,C34038
4.0,38.0,96.0,24.0,5.0,C34039
3.0,26.0,166.0,27.0,12.0,C34040
13.0,31.0,72.0,17.0,11.0,C34041
39.0,32.0,179.0,34.0,20.0,C34042
17.0,48.0,249.0,41.0,5.0,C34043
10.0,41.0,208.0,32.0,5.0,C34044
7.0,30.0,112.0,99.0,6.0,C34045
13.0,41.0,157.0,12.0,8.0,C34046
4.0,16.0,107.0,8.0,7.0,C34047
20.0,29.0,237.0,27.0,5.0,C34048
7.0,37.0,291.0,23.0,5.0,C34049
10.0,23.0,169.0,14.0,20.0,C34050
5.0,29.0,310.0,27.0,20.0,C34051
7.0,46.0,106.0,20.0,10.0,C34052
8.0,29.0,56.0,14.0,6.0,C34053
4.0,42.0,98.0,18.0,15.0,C34054
6.0,40.0,150.0,59.0,7.0,C34055
1.0,16.0,78.0,25.0,5.0,C34056
6.0,22.0,79.0,98.0,3.0,C34057
7.0,26.0,186.0,41.0,6.0,C34058
5.0,13.0,183.0,9.0,30.0,C34059
10.0,50.0,159.0,20.0,14.0,C34060
13.0,42.0,110.0,30.0,9.0,C34061
