Latasha R. Thomas,Antoine Members,David H. Moore,Michael F. Daniels,Virgil S. Means,Twaundella Taylor,Ronald Carter,Paulette Coleman,prec_id
51.0,13.0,8.0,10.0,3.0,6.0,4.0,5.0,C17001
78.0,13.0,65.0,5.0,0.0,2.0,7.0,1.0,C17002
84.0,17.0,14.0,3.0,2.0,1.0,9.0,2.0,C17003
162.0,15.0,18.0,4.0,43.0,4.0,16.0,4.0,C17004
74.0,18.0,31.0,6.0,3.0,1.0,8.0,5.0,C17005
55.0,23.0,18.0,6.0,2.0,11.0,11.0,1.0,C17006
119.0,13.0,41.0,9.0,2.0,2.0,7.0,0.0,C17007
52.0,17.0,26.0,33.0,1.0,2.0,1.0,2.0,C17008
61.0,22.0,26.0,9.0,4.0,1.0,8.0,0.0,C17009
105.0,15.0,31.0,3.0,2.0,1.0,12.0,3.0,C17010
62.0,19.0,17.0,12.0,5.0,29.0,3.0,22.0,C17011
163.0,21.0,52.0,7.0,4.0,1.0,7.0,2.0,C17012
38.0,20.0,32.0,2.0,2.0,3.0,5.0,4.0,C17013
69.0,19.0,19.0,21.0,2.0,5.0,8.0,7.0,C17014
110.0,22.0,41.0,9.0,3.0,1.0,10.0,4.0,C17015
47.0,22.0,19.0,13.0,1.0,4.0,12.0,6.0,C17016
53.0,19.0,14.0,3.0,1.0,3.0,5.0,3.0,C17017
132.0,23.0,34.0,5.0,0.0,1.0,4.0,4.0,C17018
35.0,10.0,10.0,2.0,3.0,8.0,2.0,2.0,C17019
69.0,21.0,32.0,12.0,1.0,7.0,9.0,6.0,C17020
136.0,15.0,51.0,2.0,2.0,4.0,49.0,3.0,C17021
84.0,24.0,46.0,10.0,1.0,5.0,20.0,4.0,C17022
54.0,24.0,13.0,7.0,0.0,3.0,6.0,3.0,C17023
69.0,33.0,43.0,6.0,1.0,3.0,14.0,3.0,C17024
43.0,5.0,50.0,5.0,1.0,0.0,3.0,3.0,C17025
108.0,18.0,34.0,4.0,33.0,1.0,8.0,6.0,C17026
113.0,14.0,58.0,16.0,5.0,2.0,7.0,6.0,C17027
56.0,32.0,31.0,7.0,1.0,4.0,29.0,4.0,C17028
106.0,12.0,26.0,11.0,10.0,0.0,4.0,1.0,C17029
86.0,16.0,56.0,2.0,2.0,2.0,13.0,3.0,C17030
62.0,12.0,49.0,13.0,1.0,3.0,5.0,6.0,C17031
80.0,22.0,17.0,17.0,4.0,15.0,12.0,22.0,C17032
66.0,12.0,37.0,9.0,2.0,2.0,8.0,6.0,C17033
45.0,25.0,32.0,20.0,2.0,4.0,3.0,7.0,C17034
56.0,3.0,32.0,4.0,0.0,1.0,5.0,3.0,C17035
38.0,18.0,14.0,14.0,0.0,2.0,5.0,1.0,C17036
61.0,21.0,24.0,10.0,0.0,0.0,19.0,6.0,C17037
52.0,10.0,54.0,0.0,2.0,6.0,16.0,2.0,C17038
79.0,21.0,24.0,13.0,3.0,8.0,2.0,2.0,C17039
60.0,16.0,21.0,1.0,1.0,27.0,9.0,5.0,C17040
48.0,14.0,29.0,16.0,3.0,7.0,6.0,2.0,C17041
58.0,17.0,29.0,9.0,3.0,5.0,7.0,2.0,C17042
64.0,16.0,32.0,6.0,2.0,3.0,5.0,2.0,C17043
49.0,5.0,53.0,6.0,0.0,1.0,1.0,2.0,C17044
36.0,21.0,30.0,6.0,0.0,3.0,6.0,1.0,C17045
60.0,20.0,14.0,13.0,1.0,2.0,29.0,8.0,C17046
49.0,11.0,18.0,3.0,0.0,7.0,8.0,3.0,C17047
76.0,11.0,44.0,4.0,3.0,3.0,8.0,3.0,C17048
42.0,27.0,25.0,7.0,5.0,3.0,6.0,3.0,C17049
82.0,14.0,36.0,4.0,1.0,1.0,12.0,9.0,C17050
120.0,9.0,22.0,10.0,9.0,11.0,7.0,10.0,C17051
135.0,13.0,39.0,10.0,20.0,7.0,15.0,5.0,C17052
79.0,8.0,46.0,3.0,1.0,2.0,30.0,2.0,C17053
133.0,11.0,50.0,2.0,1.0,2.0,26.0,3.0,C17054
72.0,30.0,30.0,6.0,2.0,1.0,12.0,4.0,C17055
73.0,20.0,15.0,3.0,2.0,34.0,10.0,4.0,C17056
88.0,31.0,24.0,4.0,3.0,19.0,16.0,8.0,C17057
70.0,17.0,26.0,4.0,3.0,4.0,3.0,5.0,C17058
40.0,11.0,15.0,6.0,1.0,8.0,2.0,3.0,C17059
124.0,26.0,45.0,7.0,9.0,12.0,11.0,7.0,C17060
81.0,16.0,20.0,7.0,2.0,9.0,13.0,4.0,C17061
65.0,10.0,10.0,5.0,1.0,17.0,4.0,16.0,C17062
50.0,30.0,12.0,3.0,2.0,14.0,5.0,4.0,C17063
46.0,11.0,16.0,1.0,1.0,19.0,5.0,13.0,C17064
