Edward M. Burke,prec_id
87.0,C14001
162.0,C14002
189.0,C14003
143.0,C14004
222.0,C14005
153.0,C14006
157.0,C14007
110.0,C14008
186.0,C14009
183.0,C14010
152.0,C14011
151.0,C14012
195.0,C14013
153.0,C14014
193.0,C14015
179.0,C14016
227.0,C14017
133.0,C14018
234.0,C14019
139.0,C14020
185.0,C14021
235.0,C14022
196.0,C14023
123.0,C14024
182.0,C14025
150.0,C14026
238.0,C14027
168.0,C14028
220.0,C14029
160.0,C14030
157.0,C14031
112.0,C14032
131.0,C14033
133.0,C14034
169.0,C14035
