Cuahutemoc Morfin,Daniel ''Danny'' Solis,Ambrosio ''Ambi'' Medrano Jr.,prec_id
60.0,86.0,107.0,C25001
171.0,158.0,77.0,C25002
28.0,133.0,36.0,C25003
41.0,138.0,123.0,C25004
58.0,99.0,102.0,C25005
160.0,36.0,34.0,C25006
114.0,100.0,38.0,C25007
77.0,110.0,63.0,C25008
84.0,177.0,86.0,C25009
32.0,83.0,57.0,C25010
103.0,121.0,82.0,C25011
127.0,81.0,64.0,C25012
116.0,140.0,61.0,C25013
36.0,136.0,62.0,C25014
53.0,187.0,39.0,C25015
34.0,144.0,21.0,C25016
164.0,212.0,73.0,C25017
47.0,362.0,69.0,C25018
124.0,116.0,91.0,C25019
69.0,139.0,95.0,C25020
26.0,104.0,39.0,C25021
37.0,55.0,42.0,C25022
183.0,126.0,62.0,C25023
179.0,102.0,53.0,C25024
20.0,157.0,53.0,C25025
29.0,87.0,65.0,C25026
11.0,157.0,54.0,C25027
38.0,211.0,54.0,C25028
89.0,409.0,91.0,C25029
76.0,105.0,108.0,C25030
81.0,44.0,40.0,C25031
