Wallace E. ''Mickey'' Johnson,Wilbert E. Cook Iii,Chauncey L. Stroud,Sondra R. (Sam) Spellman,Melissa L. Williams,Valerie F. Leonard,Vetress Boyce,Michael D. Chandler,Julius Anderson,Shavonda Fields,Jimmy Lee Lard,Regina D. Lewis,Jeffery D. Turner,Martavius ''Mark'' Carter,Larry G. Nelson,Donielle C. Lawson,Frank M. Bass,Sharon Denise Dixon,prec_id
6.0,8.0,48.0,3.0,9.0,36.0,14.0,18.0,11.0,21.0,0.0,1.0,2.0,1.0,0.0,5.0,17.0,39.0,C24001
4.0,15.0,8.0,12.0,2.0,7.0,8.0,7.0,6.0,7.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,28.0,C24002
3.0,11.0,14.0,7.0,6.0,6.0,10.0,19.0,7.0,3.0,2.0,3.0,0.0,2.0,0.0,8.0,4.0,46.0,C24003
8.0,3.0,12.0,18.0,3.0,10.0,12.0,34.0,2.0,20.0,0.0,8.0,6.0,1.0,2.0,0.0,6.0,19.0,C24004
30.0,5.0,10.0,37.0,6.0,4.0,10.0,19.0,5.0,8.0,0.0,2.0,2.0,1.0,2.0,0.0,6.0,7.0,C24005
7.0,10.0,36.0,8.0,8.0,25.0,12.0,23.0,4.0,4.0,2.0,4.0,9.0,3.0,2.0,8.0,7.0,21.0,C24006
3.0,8.0,7.0,8.0,7.0,9.0,14.0,16.0,1.0,12.0,0.0,1.0,2.0,0.0,3.0,8.0,4.0,47.0,C24007
7.0,7.0,7.0,0.0,8.0,2.0,8.0,18.0,41.0,19.0,0.0,2.0,7.0,0.0,3.0,1.0,10.0,13.0,C24008
10.0,2.0,13.0,5.0,6.0,17.0,31.0,15.0,20.0,3.0,1.0,5.0,2.0,1.0,2.0,6.0,8.0,21.0,C24009
10.0,5.0,12.0,8.0,9.0,15.0,10.0,15.0,3.0,4.0,0.0,13.0,0.0,2.0,1.0,0.0,2.0,30.0,C24010
2.0,2.0,9.0,1.0,2.0,5.0,5.0,9.0,10.0,18.0,6.0,1.0,5.0,0.0,1.0,2.0,2.0,10.0,C24011
9.0,14.0,6.0,7.0,9.0,5.0,17.0,10.0,13.0,17.0,0.0,11.0,0.0,8.0,2.0,3.0,3.0,24.0,C24012
2.0,7.0,8.0,9.0,4.0,12.0,9.0,13.0,6.0,12.0,0.0,2.0,4.0,2.0,1.0,1.0,4.0,40.0,C24013
10.0,16.0,10.0,10.0,10.0,13.0,50.0,16.0,5.0,7.0,0.0,18.0,1.0,0.0,1.0,1.0,6.0,32.0,C24014
6.0,0.0,24.0,5.0,6.0,4.0,9.0,24.0,1.0,9.0,1.0,2.0,6.0,1.0,2.0,2.0,12.0,17.0,C24015
16.0,4.0,6.0,1.0,4.0,3.0,5.0,15.0,0.0,2.0,0.0,7.0,9.0,0.0,2.0,3.0,0.0,24.0,C24016
8.0,5.0,2.0,9.0,1.0,5.0,14.0,36.0,2.0,4.0,0.0,12.0,4.0,0.0,1.0,2.0,3.0,30.0,C24017
6.0,11.0,3.0,12.0,4.0,2.0,13.0,20.0,2.0,6.0,1.0,4.0,4.0,0.0,2.0,1.0,4.0,19.0,C24018
2.0,4.0,6.0,1.0,3.0,4.0,5.0,7.0,8.0,11.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,38.0,C24019
1.0,4.0,1.0,5.0,1.0,8.0,7.0,42.0,1.0,2.0,0.0,13.0,7.0,1.0,1.0,1.0,7.0,22.0,C24020
3.0,6.0,5.0,10.0,4.0,16.0,20.0,9.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,14.0,C24021
10.0,6.0,1.0,6.0,3.0,5.0,43.0,22.0,9.0,20.0,1.0,3.0,7.0,0.0,3.0,1.0,6.0,41.0,C24022
4.0,9.0,2.0,4.0,2.0,11.0,10.0,10.0,8.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,25.0,C24023
4.0,7.0,6.0,28.0,2.0,5.0,17.0,6.0,0.0,9.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,C24024
4.0,5.0,11.0,4.0,6.0,10.0,27.0,23.0,34.0,18.0,1.0,5.0,11.0,0.0,15.0,0.0,3.0,21.0,C24025
5.0,16.0,9.0,9.0,4.0,27.0,15.0,20.0,3.0,11.0,0.0,7.0,3.0,0.0,0.0,4.0,3.0,45.0,C24026
10.0,9.0,3.0,6.0,5.0,10.0,8.0,10.0,6.0,4.0,1.0,4.0,8.0,0.0,1.0,0.0,2.0,13.0,C24027
8.0,3.0,8.0,16.0,7.0,7.0,8.0,18.0,48.0,11.0,0.0,15.0,4.0,1.0,3.0,0.0,9.0,41.0,C24028
18.0,8.0,4.0,6.0,8.0,14.0,9.0,19.0,3.0,4.0,0.0,3.0,8.0,0.0,3.0,7.0,8.0,62.0,C24029
19.0,3.0,8.0,12.0,6.0,13.0,35.0,15.0,16.0,10.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,41.0,C24030
7.0,9.0,18.0,4.0,8.0,17.0,17.0,11.0,17.0,3.0,1.0,9.0,3.0,4.0,2.0,6.0,4.0,23.0,C24031
8.0,11.0,15.0,6.0,5.0,8.0,13.0,58.0,1.0,7.0,0.0,7.0,2.0,0.0,1.0,1.0,5.0,20.0,C24032
3.0,21.0,0.0,5.0,5.0,3.0,10.0,23.0,0.0,5.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,25.0,C24033
9.0,6.0,20.0,3.0,9.0,15.0,25.0,22.0,4.0,8.0,1.0,3.0,1.0,0.0,0.0,2.0,7.0,32.0,C24034
9.0,14.0,13.0,10.0,13.0,9.0,44.0,27.0,10.0,18.0,0.0,10.0,4.0,2.0,4.0,4.0,10.0,41.0,C24035
4.0,5.0,4.0,3.0,2.0,7.0,4.0,14.0,5.0,51.0,1.0,6.0,17.0,0.0,0.0,1.0,3.0,27.0,C24036
