William Siegmund,Jason C. Ervin,prec_id
8.0,121.0,C28001
50.0,138.0,C28002
11.0,83.0,C28003
15.0,135.0,C28004
34.0,89.0,C28005
11.0,69.0,C28006
9.0,92.0,C28007
8.0,69.0,C28008
13.0,99.0,C28009
5.0,36.0,C28010
7.0,77.0,C28011
7.0,80.0,C28012
7.0,66.0,C28013
4.0,61.0,C28014
6.0,52.0,C28015
9.0,77.0,C28016
11.0,138.0,C28017
19.0,141.0,C28018
23.0,128.0,C28019
48.0,124.0,C28020
16.0,129.0,C28021
20.0,114.0,C28022
17.0,86.0,C28023
8.0,61.0,C28024
15.0,68.0,C28025
5.0,124.0,C28026
11.0,121.0,C28027
14.0,60.0,C28028
40.0,112.0,C28029
9.0,63.0,C28030
12.0,102.0,C28031
26.0,77.0,C28032
21.0,146.0,C28033
8.0,31.0,C28034
26.0,77.0,C28035
23.0,89.0,C28036
23.0,181.0,C28037
17.0,57.0,C28038
20.0,65.0,C28039
29.0,162.0,C28040
19.0,95.0,C28041
9.0,97.0,C28042
47.0,127.0,C28043
18.0,117.0,C28044
17.0,107.0,C28045
9.0,127.0,C28046
31.0,85.0,C28047
7.0,55.0,C28048
6.0,40.0,C28049
12.0,75.0,C28050
24.0,100.0,C28051
27.0,94.0,C28052
33.0,54.0,C28053
20.0,75.0,C28054
8.0,97.0,C28055
18.0,91.0,C28056
14.0,149.0,C28057
15.0,102.0,C28058
18.0,91.0,C28059
8.0,81.0,C28060
13.0,83.0,C28061
