Faheem Shabazz,Michelle A. Harris,Bertha F. Starks,James L. Daniels,prec_id
25.0,175.0,5.0,47.0,C08001
8.0,79.0,4.0,13.0,C08002
27.0,230.0,14.0,27.0,C08003
29.0,166.0,11.0,23.0,C08004
29.0,213.0,8.0,25.0,C08005
41.0,148.0,7.0,48.0,C08006
45.0,133.0,3.0,14.0,C08007
36.0,196.0,7.0,31.0,C08008
48.0,215.0,7.0,27.0,C08009
45.0,240.0,5.0,43.0,C08010
27.0,163.0,30.0,19.0,C08011
18.0,105.0,42.0,34.0,C08012
30.0,136.0,9.0,15.0,C08013
13.0,78.0,7.0,24.0,C08014
73.0,97.0,5.0,5.0,C08015
31.0,173.0,6.0,31.0,C08016
30.0,183.0,7.0,10.0,C08017
13.0,82.0,10.0,27.0,C08018
36.0,205.0,7.0,29.0,C08019
14.0,129.0,4.0,27.0,C08020
27.0,160.0,4.0,10.0,C08021
36.0,126.0,13.0,23.0,C08022
49.0,115.0,9.0,22.0,C08023
61.0,161.0,11.0,14.0,C08024
38.0,158.0,8.0,16.0,C08025
27.0,118.0,2.0,16.0,C08026
57.0,170.0,6.0,33.0,C08027
49.0,138.0,5.0,15.0,C08028
21.0,150.0,4.0,56.0,C08029
31.0,162.0,5.0,20.0,C08030
21.0,113.0,1.0,26.0,C08031
53.0,195.0,27.0,41.0,C08032
16.0,141.0,12.0,31.0,C08033
31.0,211.0,14.0,34.0,C08034
13.0,193.0,25.0,37.0,C08035
49.0,127.0,5.0,21.0,C08036
21.0,148.0,28.0,48.0,C08037
24.0,144.0,12.0,36.0,C08038
51.0,146.0,8.0,28.0,C08039
18.0,106.0,8.0,43.0,C08040
23.0,112.0,5.0,29.0,C08041
59.0,178.0,4.0,23.0,C08042
21.0,99.0,9.0,29.0,C08043
55.0,100.0,9.0,28.0,C08044
20.0,119.0,9.0,24.0,C08045
74.0,109.0,5.0,8.0,C08046
16.0,208.0,10.0,13.0,C08047
20.0,127.0,16.0,37.0,C08048
31.0,216.0,6.0,29.0,C08049
9.0,214.0,6.0,16.0,C08050
27.0,221.0,10.0,19.0,C08051
10.0,173.0,8.0,45.0,C08052
39.0,166.0,8.0,53.0,C08053
39.0,124.0,8.0,60.0,C08054
17.0,128.0,12.0,26.0,C08055
30.0,143.0,12.0,33.0,C08056
38.0,140.0,4.0,17.0,C08057
27.0,149.0,38.0,34.0,C08058
12.0,65.0,12.0,21.0,C08059
48.0,121.0,12.0,17.0,C08060
24.0,103.0,20.0,37.0,C08061
28.0,160.0,4.0,25.0,C08062
54.0,172.0,3.0,12.0,C08063
30.0,145.0,16.0,21.0,C08064
30.0,96.0,5.0,15.0,C08065
39.0,217.0,19.0,36.0,C08066
10.0,126.0,6.0,12.0,C08067
21.0,74.0,8.0,14.0,C08068
12.0,102.0,4.0,13.0,C08069
41.0,160.0,20.0,44.0,C08070
