Emma M. Mitts,Maretta Brown-Miller,Minerva V. Orozco,Steven E. Pleasant,Tommy O. Abina,Shanika J. Finley,prec_id
43.0,24.0,60.0,5.0,15.0,2.0,C37001
114.0,45.0,26.0,4.0,8.0,3.0,C37002
75.0,13.0,21.0,8.0,6.0,2.0,C37003
149.0,45.0,11.0,4.0,4.0,12.0,C37004
172.0,65.0,1.0,8.0,11.0,5.0,C37005
128.0,73.0,0.0,3.0,64.0,10.0,C37006
146.0,67.0,4.0,10.0,18.0,13.0,C37007
100.0,35.0,18.0,5.0,5.0,5.0,C37008
124.0,30.0,3.0,8.0,4.0,16.0,C37009
139.0,51.0,13.0,3.0,6.0,5.0,C37010
59.0,17.0,25.0,2.0,5.0,1.0,C37011
83.0,21.0,17.0,13.0,3.0,6.0,C37012
133.0,37.0,14.0,2.0,2.0,10.0,C37013
182.0,75.0,7.0,6.0,7.0,9.0,C37014
135.0,41.0,1.0,8.0,0.0,12.0,C37015
136.0,77.0,9.0,8.0,6.0,13.0,C37016
106.0,61.0,0.0,11.0,8.0,7.0,C37017
154.0,59.0,6.0,2.0,6.0,10.0,C37018
49.0,25.0,70.0,6.0,5.0,2.0,C37019
131.0,44.0,2.0,1.0,4.0,11.0,C37020
136.0,28.0,1.0,2.0,4.0,41.0,C37021
87.0,31.0,5.0,6.0,4.0,5.0,C37022
91.0,55.0,0.0,3.0,8.0,11.0,C37023
110.0,42.0,3.0,39.0,8.0,4.0,C37024
139.0,77.0,1.0,6.0,6.0,12.0,C37025
133.0,52.0,3.0,71.0,4.0,3.0,C37026
171.0,30.0,3.0,6.0,1.0,25.0,C37027
145.0,44.0,10.0,4.0,4.0,7.0,C37028
142.0,64.0,0.0,4.0,6.0,8.0,C37029
89.0,20.0,9.0,1.0,10.0,5.0,C37030
131.0,64.0,4.0,8.0,11.0,11.0,C37031
130.0,63.0,1.0,17.0,11.0,13.0,C37032
111.0,45.0,2.0,3.0,4.0,12.0,C37033
122.0,64.0,6.0,10.0,8.0,13.0,C37034
154.0,55.0,2.0,8.0,1.0,8.0,C37035
123.0,39.0,0.0,4.0,3.0,27.0,C37036
132.0,40.0,1.0,14.0,1.0,12.0,C37037
93.0,100.0,5.0,3.0,18.0,4.0,C37038
89.0,26.0,41.0,9.0,23.0,5.0,C37039
117.0,85.0,1.0,5.0,4.0,14.0,C37040
117.0,102.0,2.0,5.0,13.0,14.0,C37041
93.0,13.0,37.0,4.0,4.0,0.0,C37042
120.0,42.0,5.0,2.0,1.0,6.0,C37043
