Stella Nicpon,Ariel E. Reboyras,Doug Cannon,Chester R. Hornowski,prec_id
18.0,106.0,13.0,50.0,C30001
8.0,117.0,6.0,8.0,C30002
20.0,177.0,12.0,24.0,C30003
12.0,112.0,4.0,14.0,C30004
10.0,63.0,6.0,7.0,C30005
29.0,91.0,18.0,11.0,C30006
21.0,101.0,11.0,23.0,C30007
27.0,140.0,4.0,26.0,C30008
17.0,182.0,7.0,5.0,C30009
27.0,111.0,5.0,12.0,C30010
9.0,76.0,11.0,10.0,C30011
14.0,97.0,10.0,5.0,C30012
2.0,145.0,9.0,32.0,C30013
6.0,34.0,7.0,8.0,C30014
20.0,167.0,8.0,26.0,C30015
21.0,167.0,6.0,21.0,C30016
23.0,78.0,7.0,6.0,C30017
17.0,98.0,7.0,28.0,C30018
15.0,79.0,7.0,7.0,C30019
7.0,104.0,3.0,5.0,C30020
9.0,154.0,8.0,1.0,C30021
18.0,153.0,5.0,10.0,C30022
15.0,102.0,14.0,7.0,C30023
6.0,114.0,1.0,9.0,C30024
14.0,79.0,5.0,17.0,C30025
12.0,82.0,5.0,5.0,C30026
35.0,180.0,13.0,13.0,C30027
15.0,104.0,22.0,8.0,C30028
8.0,75.0,3.0,7.0,C30029
13.0,149.0,30.0,30.0,C30030
12.0,82.0,11.0,8.0,C30031
6.0,53.0,2.0,5.0,C30032
10.0,107.0,11.0,6.0,C30033
21.0,149.0,18.0,4.0,C30034
23.0,128.0,8.0,7.0,C30035
8.0,128.0,5.0,20.0,C30036
20.0,85.0,15.0,21.0,C30037
14.0,162.0,12.0,28.0,C30038
8.0,124.0,17.0,14.0,C30039
17.0,129.0,11.0,4.0,C30040
10.0,113.0,1.0,7.0,C30041
