Matthew J. O'Shea,Anne Schaible,Raymond (Ray) Coronado,George G. Newell,Phillip R. Sherlock,prec_id
295.0,88.0,5.0,0.0,13.0,C19001
194.0,76.0,37.0,9.0,3.0,C19002
238.0,102.0,0.0,0.0,27.0,C19003
257.0,100.0,4.0,1.0,22.0,C19004
218.0,124.0,11.0,21.0,11.0,C19005
223.0,115.0,1.0,2.0,22.0,C19006
283.0,72.0,5.0,0.0,18.0,C19007
210.0,94.0,1.0,0.0,16.0,C19008
199.0,78.0,3.0,0.0,11.0,C19009
287.0,153.0,9.0,13.0,4.0,C19010
322.0,118.0,0.0,1.0,33.0,C19011
238.0,131.0,1.0,0.0,15.0,C19012
122.0,57.0,14.0,32.0,11.0,C19013
231.0,150.0,7.0,13.0,18.0,C19014
216.0,121.0,2.0,1.0,34.0,C19015
314.0,117.0,3.0,1.0,32.0,C19016
290.0,86.0,5.0,2.0,15.0,C19017
310.0,97.0,9.0,4.0,3.0,C19018
219.0,144.0,11.0,9.0,10.0,C19019
179.0,109.0,15.0,25.0,5.0,C19020
195.0,94.0,2.0,1.0,29.0,C19021
195.0,163.0,60.0,8.0,6.0,C19022
329.0,98.0,3.0,2.0,26.0,C19023
219.0,80.0,4.0,1.0,40.0,C19024
224.0,162.0,18.0,9.0,20.0,C19025
229.0,155.0,16.0,3.0,9.0,C19026
95.0,94.0,20.0,12.0,12.0,C19027
188.0,81.0,20.0,36.0,15.0,C19028
217.0,141.0,2.0,3.0,29.0,C19029
253.0,129.0,1.0,0.0,30.0,C19030
224.0,109.0,12.0,3.0,28.0,C19031
295.0,78.0,4.0,2.0,20.0,C19032
292.0,147.0,2.0,1.0,25.0,C19033
223.0,125.0,7.0,2.0,15.0,C19034
216.0,90.0,18.0,6.0,22.0,C19035
214.0,112.0,14.0,33.0,27.0,C19036
218.0,100.0,11.0,34.0,18.0,C19037
179.0,97.0,25.0,28.0,21.0,C19038
60.0,26.0,9.0,7.0,16.0,C19039
207.0,108.0,8.0,9.0,60.0,C19040
188.0,98.0,5.0,0.0,16.0,C19041
161.0,123.0,19.0,29.0,33.0,C19042
219.0,39.0,19.0,102.0,40.0,C19043
258.0,118.0,1.0,0.0,18.0,C19044
296.0,84.0,3.0,4.0,19.0,C19045
357.0,101.0,2.0,1.0,20.0,C19046
323.0,107.0,10.0,36.0,20.0,C19047
231.0,61.0,18.0,69.0,28.0,C19048
229.0,113.0,19.0,27.0,29.0,C19049
182.0,36.0,17.0,49.0,32.0,C19050
179.0,102.0,2.0,0.0,25.0,C19051
187.0,126.0,2.0,1.0,21.0,C19052
256.0,97.0,10.0,2.0,18.0,C19053
213.0,92.0,0.0,0.0,30.0,C19054
196.0,87.0,4.0,0.0,44.0,C19055
227.0,191.0,5.0,7.0,1.0,C19056
263.0,115.0,24.0,15.0,10.0,C19057
258.0,137.0,1.0,2.0,15.0,C19058
296.0,136.0,2.0,0.0,32.0,C19059
139.0,56.0,13.0,31.0,13.0,C19060
364.0,89.0,7.0,2.0,26.0,C19061
255.0,59.0,9.0,5.0,19.0,C19062
132.0,63.0,9.0,13.0,21.0,C19063
