Ricardo Munoz,Neftalie Gonzalez,prec_id
81.0,41.0,C22001
66.0,42.0,C22002
89.0,83.0,C22003
93.0,62.0,C22004
114.0,56.0,C22005
85.0,28.0,C22006
133.0,34.0,C22007
72.0,56.0,C22008
128.0,49.0,C22009
114.0,69.0,C22010
112.0,50.0,C22011
74.0,53.0,C22012
106.0,95.0,C22013
85.0,26.0,C22014
84.0,38.0,C22015
111.0,84.0,C22016
95.0,64.0,C22017
125.0,67.0,C22018
90.0,28.0,C22019
102.0,67.0,C22020
124.0,38.0,C22021
101.0,44.0,C22022
129.0,40.0,C22023
90.0,35.0,C22024
71.0,65.0,C22025
83.0,62.0,C22026
121.0,85.0,C22027
53.0,52.0,C22028
74.0,35.0,C22029
