Margaret Laurino,Mary K. Hunter,prec_id
190.0,71.0,C39001
274.0,109.0,C39002
206.0,53.0,C39003
152.0,54.0,C39004
127.0,14.0,C39005
190.0,43.0,C39006
143.0,32.0,C39007
207.0,50.0,C39008
242.0,41.0,C39009
144.0,52.0,C39010
226.0,38.0,C39011
144.0,42.0,C39012
75.0,50.0,C39013
162.0,63.0,C39014
187.0,50.0,C39015
126.0,36.0,C39016
114.0,56.0,C39017
197.0,63.0,C39018
127.0,42.0,C39019
187.0,56.0,C39020
144.0,33.0,C39021
186.0,56.0,C39022
111.0,29.0,C39023
160.0,51.0,C39024
189.0,57.0,C39025
198.0,48.0,C39026
169.0,78.0,C39027
214.0,59.0,C39028
180.0,68.0,C39029
103.0,33.0,C39030
147.0,28.0,C39031
140.0,29.0,C39032
209.0,75.0,C39033
188.0,80.0,C39034
155.0,126.0,C39035
166.0,36.0,C39036
287.0,67.0,C39037
211.0,49.0,C39038
85.0,24.0,C39039
146.0,16.0,C39040
71.0,26.0,C39041
173.0,49.0,C39042
129.0,79.0,C39043
212.0,76.0,C39044
96.0,46.0,C39045
147.0,49.0,C39046
145.0,26.0,C39047
