label,time,mle_phc_mse,mean_phc_mse,phc_granularity,n_steps,scorer,kernel
1_1,17.617202361424766,0.11583332757155115,0.1825,10,1000,expec,rwm
1_2,17.64889367421468,0.0362499964237214,0.0463,10,1000,expec,rwm
2_1,16.719676176706948,0.12583333600312493,0.2092,10,1000,expec,rwm
2_2,16.502959728240967,0.10624998867511776,0.1021,10,1000,expec,rwm
3_1,16.630866686503097,0.039166666443149305,0.0434,10,1000,expec,rwm
3_2,17.156783978144333,0.5262499827146532,0.5361,10,1000,expec,rwm
1_1,733.3776759306588,0.07392499969601632,0.0831,100,1000,expec,rwm
1_2,725.9846709569297,0.01112499813735495,0.0126,100,1000,expec,rwm
2_1,727.2388309637704,0.1298249934196474,0.2143,100,1000,expec,rwm
2_2,722.3091224034627,0.40982501249313374,0.421,100,1000,expec,rwm
3_1,729.2839836279552,0.0633250015556813,0.0323,100,1000,expec,rwm
3_2,721.8541069825492,0.001825000378489521,0.0121,100,1000,expec,rwm
1_1,153.41239500045774,0.08249999968955918,0.0258,10,10000,expec,rwm
1_2,151.00563287734983,0.006249999105930364,0.0032,10,10000,expec,rwm
2_1,150.8916095892588,0.12249999750405564,0.0692,10,10000,expec,rwm
2_2,150.71585377057394,0.08125000402331359,0.0912,10,10000,expec,rwm
3_1,150.481156984965,0.04583333237717554,0.0471,10,10000,expec,rwm
3_2,151.18865354855856,0.0362499964237214,0.0217,10,10000,expec,rwm
