Michael R. Zalewski,Martin Arteaga,Anna Goral,prec_id
279,24,49,C01023
184,29,55,C02023
249,13,58,C03023
282,32,33,C04023
88,72,31,C05023
198,44,32,C06023
90,63,19,C07023
192,47,72,C08023
110,56,16,C09023
187,34,26,C10023
123,79,20,C11023
248,21,67,C12023
82,67,8,C13023
223,17,40,C14023
78,67,18,C15023
236,6,65,C16023
35,85,9,C17023
185,21,51,C18023
68,93,9,C19023
40,81,8,C20023
261,11,68,C21023
201,32,43,C22023
208,22,47,C23023
104,51,24,C24023
106,61,37,C25023
168,67,42,C26023
261,9,56,C27023
248,24,36,C28023
172,37,37,C29023
121,90,25,C30023
84,78,16,C31023
122,85,21,C32023
66,97,25,C33023
106,67,14,C34023
163,29,37,C35023
294,6,49,C36023
251,12,45,C37023
197,17,51,C38023
124,50,17,C39023
