Stephen Niketopoulos,Bita Buenrostro,Brian Hopkins,Alyx S. Pattison,Cornell Wilson,Stacey Pfingsten,prec_id
48,26,47,44,5,12,C01002
5,18,118,64,20,12,C02002
56,15,27,53,13,20,C03002
82,25,19,35,17,23,C04002
40,45,34,42,12,18,C05002
29,22,66,37,17,17,C06002
29,27,49,43,19,18,C07002
43,17,58,34,15,20,C08002
19,16,51,48,17,12,C09002
9,10,152,57,11,8,C10002
5,10,163,67,16,9,C11002
29,61,45,42,45,16,C12002
14,19,131,104,21,28,C13002
154,24,29,47,10,22,C14002
36,25,32,53,10,38,C15002
40,20,31,40,14,10,C16002
99,73,39,46,12,28,C17002
11,16,99,62,18,21,C18002
4,18,132,56,10,18,C19002
13,9,21,50,7,52,C20002
106,19,33,31,9,26,C21002
20,29,69,67,9,76,C22002
7,7,76,108,11,23,C23002
22,25,27,52,12,54,C24002
43,19,31,64,9,21,C25002
14,33,41,36,20,52,C26002
6,80,47,47,21,18,C27002
29,34,70,52,20,29,C28002
10,40,65,42,23,27,C29002
11,25,77,44,22,25,C30002
23,43,89,90,29,52,C31002
12,36,38,37,24,16,C32002
23,41,114,91,45,44,C33002
9,22,80,95,15,16,C34002
11,49,39,48,19,17,C35002
14,39,44,39,22,49,C36002
11,28,80,72,29,46,C37002
9,47,78,71,28,31,C38002
9,65,78,14,18,14,C39002
6,22,53,34,28,20,C40002
4,10,50,22,16,24,C41002
14,70,36,27,36,15,C42002
14,39,90,71,20,16,C43002
10,13,47,44,13,20,C44002
17,64,63,50,44,25,C45002
13,16,31,32,12,12,C46002
