Mary O'Connor,Joe Lomanto,Anthony V. Napolitano,prec_id
107,48,172,C01041
142,46,173,C02041
164,18,122,C03041
209,42,123,C04041
134,44,131,C05041
238,25,96,C06041
149,86,169,C07041
134,40,165,C08041
153,30,123,C09041
192,36,152,C10041
153,43,168,C11041
193,23,91,C12041
122,29,209,C13041
204,54,102,C14041
161,32,188,C15041
161,23,111,C16041
175,24,112,C17041
127,25,155,C18041
212,38,127,C19041
167,19,86,C20041
176,30,116,C21041
149,43,148,C22041
131,11,183,C23041
144,16,132,C24041
85,10,42,C25041
167,34,144,C26041
92,13,88,C27041
107,21,47,C28041
98,15,32,C29041
138,23,160,C30041
293,26,79,C31041
119,17,113,C32041
117,22,157,C33041
104,19,151,C34041
131,34,201,C35041
130,24,148,C36041
165,22,145,C37041
119,19,145,C38041
186,29,122,C39041
158,71,170,C40041
132,16,194,C41041
149,40,139,C42041
128,19,181,C43041
134,51,182,C44041
133,29,110,C45041
196,37,135,C46041
154,43,114,C47041
