Deborah L. Graham,Lawrence Andolino,Bob Galhotra,Chris Taliaferro,Lacoulton J. Walls,Zerlina A. Smith,Oddis ''O.J'' Johnson,Stephen Robinson,prec_id
55,187,34,42,1,8,0,11,C01029
175,5,5,95,43,29,4,4,C02029
132,1,2,88,10,25,1,6,C03029
128,6,3,59,3,10,42,15,C04029
85,5,4,52,34,11,16,9,C05029
105,4,7,27,8,18,6,4,C06029
59,65,26,62,5,11,3,12,C07029
81,4,1,26,6,7,4,3,C08029
43,192,62,31,4,2,7,8,C09029
47,208,31,60,2,6,3,25,C10029
55,3,6,32,24,6,4,2,C11029
93,19,16,95,7,18,16,12,C12029
135,6,3,45,2,9,19,16,C13029
114,4,4,86,19,27,3,11,C14029
139,9,5,100,13,9,9,6,C15029
197,0,2,40,7,25,5,3,C16029
131,3,2,30,10,7,9,7,C17029
137,4,3,43,15,14,4,4,C18029
108,1,2,86,25,16,7,1,C19029
168,10,6,41,59,9,7,6,C20029
141,4,3,27,30,21,7,4,C21029
91,11,9,36,8,10,7,6,C22029
31,91,97,24,1,6,1,3,C23029
99,9,3,50,6,7,14,11,C24029
133,5,6,68,5,8,29,27,C25029
139,8,12,78,8,10,1,6,C26029
104,3,3,44,14,10,37,18,C27029
127,3,4,125,2,38,6,2,C28029
13,81,45,67,4,3,1,2,C29029
121,89,61,19,13,9,3,7,C30029
16,104,45,42,5,1,0,4,C31029
12,88,27,64,3,3,3,3,C32029
140,5,5,46,14,9,6,2,C33029
95,10,21,17,5,7,1,2,C34029
97,2,4,24,8,14,10,7,C35029
113,5,2,81,9,7,8,2,C36029
134,6,4,41,12,8,4,8,C37029
36,66,61,16,1,1,1,4,C38029
24,84,24,34,5,6,0,5,C39029
124,7,8,85,5,16,28,13,C40029
109,4,2,48,6,8,32,27,C41029
124,2,2,64,9,21,9,5,C42029
58,121,45,69,0,6,5,9,C43029
127,5,5,126,16,9,7,4,C44029
