Matthew J. O'Shea,Anne Schaible,prec_id
256,61,C01019
318,108,C02019
165,72,C03019
275,102,C04019
236,134,C05019
234,102,C06019
249,68,C07019
254,81,C08019
204,49,C09019
258,123,C10019
234,88,C11019
201,72,C12019
248,101,C13019
232,103,C14019
288,131,C15019
261,60,C16019
215,77,C17019
235,69,C18019
257,137,C19019
180,73,C20019
250,93,C21019
232,114,C22019
252,76,C23019
193,60,C24019
189,115,C25019
237,91,C26019
226,77,C27019
268,62,C28019
195,95,C29019
184,78,C30019
201,91,C31019
216,79,C32019
239,81,C33019
243,77,C34019
207,75,C35019
245,86,C36019
228,66,C37019
208,69,C38019
47,28,C39019
224,100,C40019
205,83,C41019
161,90,C42019
302,60,C43019
258,87,C44019
271,66,C45019
269,83,C46019
323,132,C47019
244,61,C48019
284,114,C49019
178,67,C50019
315,65,C51019
212,112,C52019
222,89,C53019
169,78,C54019
197,82,C55019
202,166,C56019
192,85,C57019
