Marty Quinn,prec_id
209,C01013
243,C02013
122,C03013
270,C04013
241,C05013
246,C06013
168,C07013
171,C08013
175,C09013
234,C10013
269,C11013
168,C12013
208,C13013
197,C14013
307,C15013
139,C16013
204,C17013
189,C18013
199,C19013
146,C20013
286,C21013
241,C22013
135,C23013
192,C24013
214,C25013
245,C26013
196,C27013
159,C28013
166,C29013
139,C30013
236,C31013
224,C32013
210,C33013
250,C34013
192,C35013
121,C36013
248,C37013
217,C38013
213,C39013
177,C40013
206,C41013
243,C42013
247,C43013
342,C44013
249,C45013
214,C46013
191,C47013
206,C48013
