Scott Waguespack,Elise Doody-Jones,prec_id
124,48,C01032
135,24,C02032
195,78,C03032
190,16,C04032
183,23,C05032
122,34,C06032
154,36,C07032
127,30,C08032
166,33,C09032
144,40,C10032
153,60,C11032
128,62,C12032
124,38,C13032
133,55,C14032
164,22,C15032
162,42,C16032
168,57,C17032
137,25,C18032
121,40,C19032
158,90,C20032
200,36,C21032
188,66,C22032
171,31,C23032
79,17,C24032
142,36,C25032
194,47,C26032
149,36,C27032
161,65,C28032
186,41,C29032
114,34,C30032
144,32,C31032
170,25,C32032
138,40,C33032
145,33,C34032
139,28,C35032
145,28,C36032
109,38,C37032
118,41,C38032
129,27,C39032
178,29,C40032
152,34,C41032
141,38,C42032
145,58,C43032
