Ariel E. Reboyras,Ariel E. Reboyras.1,prec_id
155,155,C01030
181,181,C02030
129,129,C03030
148,148,C04030
98,98,C05030
128,128,C06030
152,152,C07030
161,161,C08030
127,127,C09030
163,163,C10030
123,123,C11030
127,127,C12030
126,126,C13030
93,93,C14030
174,174,C15030
67,67,C16030
167,167,C17030
134,134,C18030
127,127,C19030
158,158,C20030
145,145,C21030
154,154,C22030
111,111,C23030
119,119,C24030
157,157,C25030
85,85,C26030
97,97,C27030
165,165,C28030
77,77,C29030
53,53,C30030
113,113,C31030
105,105,C32030
