Edward M. Burke,prec_id
290,C01014
276,C02014
166,C03014
196,C04014
230,C05014
90,C06014
175,C07014
160,C08014
236,C09014
117,C10014
115,C11014
181,C12014
156,C13014
157,C14014
165,C15014
140,C16014
193,C17014
79,C18014
156,C19014
108,C20014
179,C21014
179,C22014
185,C23014
274,C24014
120,C25014
97,C26014
170,C27014
121,C28014
158,C29014
70,C30014
89,C31014
