Anthony A. Beale,Michael E. Lafargue,Harold ''Noonie'' Ward,Theodore Williams,prec_id
166,33,11,29,C01009
146,24,24,13,C02009
44,0,91,10,C03009
115,21,25,24,C04009
171,33,15,17,C05009
164,14,16,50,C06009
94,25,18,29,C07009
125,43,10,24,C08009
198,41,27,24,C09009
152,11,21,11,C10009
110,10,23,35,C11009
191,31,24,22,C12009
216,36,25,33,C13009
248,38,20,32,C14009
43,4,85,21,C15009
132,12,34,48,C16009
127,15,22,17,C17009
92,13,17,34,C18009
138,18,20,39,C19009
180,29,25,41,C20009
151,24,17,24,C21009
183,54,17,21,C22009
130,108,9,27,C23009
179,51,10,24,C24009
144,48,29,25,C25009
75,11,47,13,C26009
156,27,14,17,C27009
87,12,13,7,C28009
147,25,26,20,C29009
129,22,30,12,C30009
123,32,27,15,C31009
155,35,20,19,C32009
81,11,51,37,C33009
111,21,28,22,C34009
175,38,16,29,C35009
124,32,14,29,C36009
217,52,14,35,C37009
170,26,15,16,C38009
158,21,37,38,C39009
191,47,28,21,C40009
140,8,25,44,C41009
124,157,5,15,C42009
137,21,25,16,C43009
119,23,42,51,C44009
112,19,20,33,C45009
149,32,34,24,C46009
174,105,11,22,C47009
163,49,18,43,C48009
139,44,8,37,C49009
139,165,10,36,C50009
173,51,12,27,C51009
