Brendan Reilly,prec_id
243,C01042
143,C02042
136,C03042
264,C04042
118,C05042
297,C06042
229,C07042
207,C08042
152,C09042
160,C10042
180,C11042
134,C12042
307,C13042
119,C14042
94,C15042
155,C16042
155,C17042
123,C18042
213,C19042
113,C20042
111,C21042
82,C22042
144,C23042
187,C24042
183,C25042
179,C26042
191,C27042
280,C28042
146,C29042
222,C30042
155,C31042
116,C32042
157,C33042
214,C34042
245,C35042
165,C36042
85,C37042
133,C38042
110,C39042
169,C40042
159,C41042
196,C42042
