George Cardenas,prec_id
186,C01012
130,C02012
167,C03012
152,C04012
178,C05012
161,C06012
119,C07012
170,C08012
138,C09012
129,C10012
150,C11012
141,C12012
143,C13012
134,C14012
146,C15012
128,C16012
164,C17012
121,C18012
136,C19012
176,C20012
141,C21012
105,C22012
164,C23012
