John A. Pope,Susan Sadlowski Garza,"Richard L. Martinez, Jr.",Frank J. Corona,Samantha M. Webb,Olga Bautista,Juan B. Huizar,prec_id
91,57,58,5,10,11,6,C01010
174,43,44,4,44,1,13,C02010
176,48,29,3,34,2,21,C03010
58,39,41,15,8,13,12,C04010
133,45,27,4,27,0,18,C05010
132,31,26,4,2,13,35,C06010
81,30,31,20,6,7,22,C07010
29,19,64,0,4,7,3,C08010
159,66,23,2,61,1,27,C09010
123,111,35,4,15,4,45,C10010
132,109,43,9,5,4,40,C11010
83,50,25,6,9,4,16,C12010
147,33,77,4,5,2,26,C13010
160,141,49,15,9,4,43,C14010
287,70,37,11,28,27,3,C15010
106,32,39,2,18,2,7,C16010
240,72,39,3,63,4,8,C17010
73,30,15,6,7,6,9,C18010
132,100,41,6,25,0,29,C19010
127,118,44,8,7,9,25,C20010
132,65,53,13,4,9,41,C21010
56,41,25,16,0,5,17,C22010
103,97,22,8,8,6,34,C23010
198,59,28,1,47,1,18,C24010
43,19,6,2,1,3,3,C25010
99,36,10,12,5,2,14,C26010
95,47,31,5,9,16,22,C27010
96,170,30,12,4,4,41,C28010
81,62,39,32,4,1,32,C29010
95,72,18,21,10,8,21,C30010
68,48,33,19,5,10,30,C31010
95,100,34,12,2,4,37,C32010
71,77,17,5,1,5,27,C33010
81,37,14,5,3,7,6,C34010
189,98,33,7,16,4,57,C35010
36,15,11,6,4,2,1,C36010
