Debra L. Silverstein,Shajan M. Kuriakose,Zehra Quadri,prec_id
173,47,33,C01050
99,38,14,C02050
171,43,32,C03050
159,49,42,C04050
156,35,18,C05050
189,30,39,C06050
186,83,50,C07050
121,31,31,C08050
126,33,40,C09050
121,36,51,C10050
126,24,5,C11050
86,26,16,C12050
96,22,68,C13050
75,11,3,C14050
168,68,53,C15050
75,15,10,C16050
122,21,33,C17050
74,0,1,C18050
65,34,58,C19050
140,58,51,C20050
108,29,31,C21050
127,16,27,C22050
88,21,43,C23050
159,44,11,C24050
141,69,16,C25050
125,23,46,C26050
53,3,32,C27050
157,23,47,C28050
72,31,53,C29050
85,44,41,C30050
99,28,75,C31050
106,37,62,C32050
137,40,20,C33050
174,66,49,C34050
147,61,50,C35050
165,41,30,C36050
151,30,35,C37050
104,33,12,C38050
95,28,20,C39050
203,35,27,C40050
