James Cappleman,Amy Crawford,Denice L. Davis,prec_id
110,98,58,C01046
101,90,51,C02046
142,157,20,C03046
170,87,37,C04046
69,140,5,C05046
102,89,41,C06046
218,149,28,C07046
75,39,108,C08046
150,84,17,C09046
86,118,19,C10046
128,66,45,C11046
109,109,36,C12046
144,80,11,C13046
141,52,148,C14046
145,87,15,C15046
121,127,22,C16046
135,164,32,C17046
106,89,26,C18046
87,104,13,C19046
102,72,102,C20046
101,58,25,C21046
39,104,91,C22046
102,44,71,C23046
121,143,20,C24046
107,77,79,C25046
117,64,41,C26046
132,81,33,C27046
192,107,17,C28046
136,69,33,C29046
105,95,51,C30046
76,121,8,C31046
123,96,85,C32046
138,142,15,C33046
141,102,16,C34046
157,91,42,C35046
116,132,18,C36046
102,66,31,C37046
105,71,39,C38046
101,106,15,C39046
148,83,25,C40046
