Ricardo Munoz,Neftalie Gonzalez,"Raul Montes, Jr.",Robert Martinez,prec_id
97,13,15,23,C01022
120,15,34,94,C02022
132,52,60,9,C03022
99,37,21,12,C04022
92,12,74,39,C05022
109,19,105,8,C06022
93,31,15,2,C07022
150,18,13,84,C08022
123,25,17,10,C09022
159,42,71,16,C10022
120,15,22,17,C11022
122,19,25,53,C12022
110,38,46,11,C13022
117,24,10,18,C14022
100,36,10,10,C15022
86,24,41,28,C16022
112,23,57,10,C17022
102,38,9,18,C18022
61,7,9,8,C19022
94,17,58,15,C20022
167,27,55,13,C21022
92,30,9,24,C22022
196,17,32,51,C23022
161,38,46,9,C24022
114,52,33,13,C25022
